"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid","weights"
"1",0.514685412811682,0.00614512983807971,0,0.455,0.055,0.49,0.332400611128213
"2",0.515454147689796,0.0063467156895935,0,0.451,0.059,0.49,0.332400611128213
"3",0.514471687377469,0.00609155313868286,0,0.452,0.05,0.498,0.332400611128213
"4",0.514060580003768,0.00598365552854082,0,0.451,0.051,0.498,0.00244574105709343
"5",0.514570342074962,0.00611472327845078,0,0.45,0.052,0.498,0.00026023945127412
"6",0.510259791061288,0.00498924480149072,0,0.452,0.048,0.5,9.18182119705679e-05
"7",0.513988511137563,0.00596289878297186,0,0.457,0.05,0.493,3.91639398155925e-08
"8",0.51419971868882,0.00601968451171132,0,0.454,0.045,0.501,3.18592654202505e-07
"9",0.513679612169904,0.00588173086274131,0,0.455,0.045,0.5,5.22052691714519e-09
"10",0.514275105959652,0.00603904014880737,0,0.459,0.051,0.49,4.91790280765906e-09
