     prop.aneu    prob.meio    prob.mito    dispersal euploid mosaic aneuploid
74   0.9893750 0.9553082206 1.741366e-01 4.368382e-01    0.00   0.03      0.97
75   0.9854688 0.8198844648 2.323610e-01 8.009327e-01    0.00   0.06      0.94
76   0.9988281 0.3222424160 5.651045e-01 5.109846e-01    0.00   0.00      1.00
77   1.0000000 0.9116444597 8.309419e-01 4.195271e-01    0.00   0.00      1.00
78   0.8277344 0.6524527343 1.189717e-01 5.424493e-02    0.02   0.30      0.68
79   1.0000000 0.8048645582 9.721132e-01 6.536986e-01    0.00   0.00      1.00
80   0.9965234 0.7241550859 4.552074e-01 4.123767e-01    0.00   0.01      0.99
81   0.9840234 0.2174986857 4.017031e-01 9.090942e-01    0.00   0.06      0.94
82   0.9982813 0.0334598406 5.394197e-01 4.781705e-01    0.00   0.01      0.99
83   1.0000000 0.8734767544 8.533389e-01 1.116650e-01    0.00   0.00      1.00
84   1.0000000 0.6177417987 8.061653e-01 3.774356e-01    0.00   0.00      1.00
85   0.9993359 0.6808268684 5.616627e-01 7.104472e-01    0.00   0.00      1.00
86   0.9350000 0.1131325958 2.767436e-01 5.679905e-01    0.00   0.24      0.76
87   1.0000000 0.7382522621 6.943863e-01 9.566782e-01    0.00   0.00      1.00
88   0.9420703 0.6855086144 2.078606e-01 4.374571e-01    0.00   0.26      0.74
89   0.9990625 0.2414353869 5.740587e-01 4.019484e-01    0.00   0.00      1.00
90   1.0000000 0.3016115611 7.884443e-01 4.068318e-02    0.00   0.00      1.00
91   0.9953125 0.1787929104 4.610849e-01 5.125226e-01    0.00   0.04      0.96
92   0.9931641 0.9817413976 1.259446e-01 1.640266e-01    0.00   0.01      0.99
93   0.9999609 0.8333677889 6.669120e-01 7.224862e-01    0.00   0.00      1.00
94   1.0000000 0.5619002639 7.233930e-01 3.831350e-01    0.00   0.00      1.00
95   1.0000000 0.3046065986 9.615534e-01 9.369662e-01    0.00   0.00      1.00
96   0.9601953 0.3622089357 2.857214e-01 8.545709e-01    0.00   0.14      0.86
97   0.9991406 0.9801084890 3.051319e-01 7.105418e-01    0.00   0.00      1.00
98   0.9996484 0.1581441369 6.518958e-01 1.215884e-01    0.00   0.00      1.00
99   0.9782422 0.1412986184 3.753775e-01 2.127594e-01    0.00   0.11      0.89
100  0.9887500 0.2259897254 4.129860e-01 1.277877e-01    0.00   0.09      0.91
101  0.9969531 0.1390797349 5.003633e-01 9.590806e-01    0.00   0.01      0.99
102  0.9227344 0.8912424636 3.674682e-02 1.514578e-01    0.04   0.06      0.90
103  0.9546094 0.2145198344 3.013487e-01 3.454831e-01    0.00   0.20      0.80
104  0.9830078 0.7843294377 2.537364e-01 2.206364e-01    0.00   0.05      0.95
105  0.9997266 0.8491468078 5.771438e-01 4.338245e-01    0.00   0.00      1.00
106  0.9710156 0.2292668091 3.549727e-01 6.879003e-01    0.00   0.12      0.88
107  0.9753516 0.2528251172 3.453908e-01 7.106365e-01    0.00   0.12      0.88
108  0.8229297 0.1835664827 1.792867e-01 2.585153e-01    0.00   0.51      0.49
109  0.9964844 0.2012216379 5.165746e-01 6.641454e-01    0.00   0.03      0.97
110  1.0000000 0.9394019831 9.730358e-01 6.077136e-01    0.00   0.00      1.00
111  1.0000000 0.4576749010 6.999258e-01 5.329863e-01    0.00   0.00      1.00
112  0.9997656 0.4423594840 5.828771e-01 5.277779e-01    0.00   0.00      1.00
113  0.8575000 0.5691409009 1.457273e-01 8.556658e-01    0.00   0.40      0.60
114  0.9992969 0.3644475145 5.734099e-01 5.393096e-01    0.00   0.00      1.00
115  0.9999219 0.9510898262 5.547886e-01 4.999408e-01    0.00   0.00      1.00
116  1.0000000 0.4290058909 8.555614e-01 9.927273e-01    0.00   0.00      1.00
117  1.0000000 0.7996382266 6.762677e-01 4.822461e-01    0.00   0.00      1.00
118  0.9987500 0.6115890720 4.961685e-01 9.218043e-02    0.00   0.01      0.99
119  1.0000000 0.9658036919 6.619085e-01 7.429607e-01    0.00   0.00      1.00
120  0.3966406 0.3857729672 8.362986e-03 3.108956e-01    0.53   0.11      0.36
121  0.8739062 0.0430548731 2.195861e-01 5.649863e-01    0.00   0.42      0.58
122  0.9965625 0.0165753383 5.130052e-01 4.687012e-01    0.00   0.01      0.99
123  0.9894531 0.0453081348 4.282821e-01 8.157870e-01    0.00   0.04      0.96
124  1.0000000 0.9848155552 5.849444e-01 8.413969e-01    0.00   0.00      1.00
125  0.9997656 0.1780022928 6.230611e-01 6.789765e-01    0.00   0.00      1.00
126  1.0000000 0.0451263697 9.461278e-01 2.936664e-02    0.00   0.00      1.00
127  0.9439453 0.6388859265 1.964416e-01 3.076921e-01    0.00   0.16      0.84
128  1.0000000 0.5147718675 8.228629e-01 9.054988e-01    0.00   0.00      1.00
129  1.0000000 0.6100224932 9.920439e-01 8.356512e-01    0.00   0.00      1.00
130  0.3143750 0.1515118710 2.912564e-02 5.374023e-01    0.27   0.59      0.14
131  0.9996875 0.5591449237 5.941000e-01 4.478545e-01    0.00   0.00      1.00
132  1.0000000 0.5274308121 8.148120e-01 1.139034e-01    0.00   0.00      1.00
133  1.0000000 0.4160944335 9.388230e-01 3.475392e-02    0.00   0.00      1.00
134  0.9937109 0.3359999384 4.442880e-01 2.113231e-01    0.00   0.05      0.95
135  0.9993359 0.5952207502 5.682188e-01 4.914207e-02    0.00   0.00      1.00
136  0.9366016 0.1824833066 2.551973e-01 6.736059e-01    0.00   0.24      0.76
137  0.9961719 0.6684128190 4.479660e-01 4.123343e-01    0.00   0.02      0.98
