        prop.aneu   prob.meio    prob.mito   dispersal euploid mosaic aneuploid
78   0.9967968750 0.807726876 4.023522e-01 0.353719311    0.00   0.03      0.97
79   1.0000000000 0.685939776 7.551366e-01 0.228903390    0.00   0.00      1.00
80   0.9997265625 0.675890467 5.547897e-01 0.760780368    0.00   0.00      1.00
81   1.0000000000 0.977831686 5.030317e-01 0.992097122    0.00   0.00      1.00
82   0.9998046875 0.012182037 6.402046e-01 0.173147918    0.00   0.00      1.00
83   1.0000000000 0.043797521 9.931478e-01 0.219086223    0.00   0.00      1.00
84   1.0000000000 0.337191801 7.978736e-01 0.898816840    0.00   0.00      1.00
85   0.9791796875 0.021078995 3.828440e-01 0.008080442    0.00   0.06      0.94
86   1.0000000000 0.765136710 6.871408e-01 0.757042202    0.00   0.00      1.00
87   0.9699609375 0.348065495 3.110674e-01 0.832915124    0.00   0.18      0.82
88   1.0000000000 0.601683106 9.350227e-01 0.981076920    0.00   0.00      1.00
89   1.0000000000 0.506405183 9.304974e-01 0.039900034    0.00   0.00      1.00
90   0.8386328125 0.587390928 1.209678e-01 0.107261692    0.03   0.34      0.63
91   0.9862500000 0.580409019 3.644026e-01 0.618864798    0.00   0.08      0.92
92   1.0000000000 0.772650267 9.019951e-01 0.176554378    0.00   0.00      1.00
93   0.8599218750 0.617230618 1.128131e-01 0.860652005    0.00   0.34      0.66
94   0.9992968750 0.488701069 5.814595e-01 0.448699130    0.00   0.00      1.00
95   0.9998828125 0.059312969 6.578888e-01 0.985515594    0.00   0.00      1.00
96   0.8026171875 0.252881037 1.504832e-01 0.859240623    0.00   0.57      0.43
97   1.0000000000 0.762891494 7.820986e-01 0.835933219    0.00   0.00      1.00
98   1.0000000000 0.273291314 7.739428e-01 0.062006555    0.00   0.00      1.00
99   0.9964453125 0.298205206 4.765511e-01 0.922379724    0.00   0.04      0.96
100  0.9433984375 0.338348047 2.826713e-01 0.186712570    0.00   0.19      0.81
101  1.0000000000 0.827236316 9.005196e-01 0.476142664    0.00   0.00      1.00
102  0.9675781250 0.480882659 2.992160e-01 0.080919900    0.00   0.12      0.88
103  0.9901562500 0.854617448 2.819615e-01 0.736483238    0.00   0.03      0.97
104  0.9235156250 0.087082420 2.730388e-01 0.856936254    0.00   0.29      0.71
105  1.0000000000 0.930607867 6.489438e-01 0.717638421    0.00   0.00      1.00
106  0.9999609375 0.600740172 6.898014e-01 0.348108625    0.00   0.00      1.00
107  1.0000000000 0.440019550 9.408955e-01 0.139322238    0.00   0.00      1.00
108  0.9987890625 0.720900497 4.957915e-01 0.723502593    0.00   0.00      1.00
109  0.9996875000 0.312937164 5.976553e-01 0.324727281    0.00   0.00      1.00
110  1.0000000000 0.175817839 7.037950e-01 0.536727442    0.00   0.00      1.00
111  0.9323437500 0.388995602 2.487718e-01 0.113915826    0.00   0.26      0.74
112  1.0000000000 0.307112235 6.968200e-01 0.184811654    0.00   0.00      1.00
113  0.9996484375 0.143662607 6.372838e-01 0.320035210    0.00   0.00      1.00
114  1.0000000000 0.999902049 3.747942e-01 0.744711331    0.00   0.00      1.00
115  0.8759375000 0.642243837 1.247175e-01 0.142147074    0.02   0.24      0.74
116  0.8095312500 0.714416475 2.348875e-02 0.995516343    0.04   0.20      0.76
117  0.9999609375 0.909057712 7.603111e-01 0.476573801    0.00   0.00      1.00
118  0.9572265625 0.673641739 2.252153e-01 0.665505442    0.00   0.17      0.83
119  1.0000000000 0.568528624 9.433120e-01 0.666411521    0.00   0.00      1.00
120  0.9500000000 0.391638114 2.500297e-01 0.613153786    0.00   0.18      0.82
121  0.8776171875 0.501774905 1.785677e-01 0.920368088    0.00   0.36      0.64
122  0.9846875000 0.186087504 3.950829e-01 0.463492160    0.00   0.04      0.96
123  0.9987890625 0.565937718 5.370710e-01 0.810578481    0.00   0.01      0.99
124  0.9735937500 0.404787727 3.265018e-01 0.970138278    0.00   0.12      0.88
125  0.9982421875 0.347145395 5.349817e-01 0.395889219    0.00   0.00      1.00
126  1.0000000000 0.752193062 8.679221e-01 0.103408060    0.00   0.00      1.00
127  1.0000000000 0.844233484 7.473926e-01 0.235463658    0.00   0.00      1.00
128  1.0000000000 0.869089974 8.506675e-01 0.230660036    0.00   0.00      1.00
129  0.9998828125 0.199549751 7.242605e-01 0.437149247    0.00   0.00      1.00
130  0.9968359375 0.632451428 4.352974e-01 0.088868594    0.00   0.00      1.00
131  1.0000000000 0.253998186 8.898199e-01 0.960619511    0.00   0.00      1.00
132  0.9994921875 0.834145301 5.183718e-01 0.271817854    0.00   0.00      1.00
133  0.9976171875 0.273172200 5.085154e-01 0.242760264    0.00   0.03      0.97
134  0.9959765625 0.611154251 4.334916e-01 0.907859549    0.00   0.02      0.98
135  1.0000000000 0.811169109 8.053340e-01 0.401640399    0.00   0.00      1.00
136  0.3894531250 0.226735914 1.391120e-02 0.729531229    0.40   0.27      0.33
137  0.9987500000 0.503429215 5.154213e-01 0.043274875    0.00   0.00      1.00
138  0.9707421875 0.655253371 2.464882e-01 0.191540275    0.00   0.08      0.92
139  0.8799609375 0.764447189 5.581652e-02 0.780328497    0.03   0.18      0.79
140  0.9995703125 0.857234153 5.509956e-01 0.432403874    0.00   0.01      0.99
141  1.0000000000 0.833409603 7.487704e-01 0.550913752    0.00   0.00      1.00
142  0.9755078125 0.154858170 3.395456e-01 0.500167401    0.00   0.12      0.88
143  0.9998046875 0.855876075 5.104452e-01 0.971220289    0.00   0.00      1.00
144  0.9583593750 0.017121287 3.212555e-01 0.489416696    0.00   0.19      0.81
145  0.9903906250 0.503998106 4.179987e-01 0.571438377    0.00   0.05      0.95
146  0.9792578125 0.692439554 2.964870e-01 0.975245485    0.00   0.07      0.93
147  0.9835546875 0.649698447 2.980199e-01 0.616162509    0.00   0.07      0.93
148  1.0000000000 0.217145115 9.716158e-01 0.815245960    0.00   0.00      1.00
149  0.9998828125 0.597953939 6.435417e-01 0.372503544    0.00   0.00      1.00
150  0.6459375000 0.094963184 1.075510e-01 0.144463961    0.08   0.68      0.24
151  0.9971875000 0.162759379 4.988515e-01 0.916698030    0.00   0.00      1.00
152  0.9576953125 0.476427619 2.722155e-01 0.556172317    0.00   0.16      0.84
153  0.9999609375 0.215350444 6.875205e-01 0.791722097    0.00   0.00      1.00
154  1.0000000000 0.053959631 9.504052e-01 0.707664619    0.00   0.00      1.00
155  1.0000000000 0.554873705 6.499598e-01 0.071538698    0.00   0.00      1.00
156  0.9998437500 0.660397726 5.945024e-01 0.993084899    0.00   0.00      1.00
157  0.4329296875 0.410615610 1.536009e-02 0.128212088    0.45   0.19      0.36
158  1.0000000000 0.975177026 8.768869e-01 0.753237222    0.00   0.00      1.00
159  0.9543750000 0.285126174 3.058576e-01 0.539090029    0.00   0.20      0.80
160  0.9998828125 0.874862997 5.416963e-01 0.550508160    0.00   0.00      1.00
161  1.0000000000 0.085164184 9.974347e-01 0.330137203    0.00   0.00      1.00
162  0.8609765625 0.324414496 1.694671e-01 0.059127750    0.01   0.32      0.67
