     prop.aneu    prob.meio   prob.mito   dispersal euploid mosaic aneuploid
82   0.9996094 0.7105010133 0.612378401 0.508803551    0.00   0.02      0.98
83   0.9991016 0.0264007074 0.576422475 0.312322488    0.00   0.00      1.00
84   0.9906250 0.2099317426 0.416341974 0.137543041    0.00   0.06      0.94
85   1.0000000 0.5607204631 0.782906789 0.525412664    0.00   0.00      1.00
86   1.0000000 0.3216196040 0.950700609 0.917950979    0.00   0.00      1.00
87   0.9997656 0.7084137097 0.569984446 0.880891525    0.00   0.00      1.00
88   0.9998828 0.4734227462 0.630360455 0.981538916    0.00   0.00      1.00
89   1.0000000 0.6104964658 0.684770831 0.892677759    0.00   0.00      1.00
90   1.0000000 0.6293723052 0.693490111 0.006777973    0.00   0.00      1.00
91   0.9999609 0.2940326531 0.691016539 0.556798204    0.00   0.00      1.00
92   0.9470703 0.4960679759 0.237931550 0.640660752    0.00   0.14      0.86
93   0.9870703 0.9744429942 0.073023916 0.820654859    0.00   0.02      0.98
94   0.9757031 0.1223559426 0.371588649 0.425148335    0.00   0.13      0.87
95   0.7356250 0.3981165744 0.100660942 0.828846189    0.01   0.54      0.45
96   0.7630078 0.3139821973 0.129559809 0.881260430    0.01   0.54      0.45
97   0.9864844 0.3821985507 0.378933404 0.962813805    0.00   0.06      0.94
98   0.9976563 0.8865668613 0.382711539 0.372426954    0.00   0.01      0.99
99   1.0000000 0.5712574336 0.759561787 0.043076803    0.00   0.00      1.00
100  0.4283203 0.4802864853 0.004888114 0.333322422    0.54   0.06      0.40
101  1.0000000 0.5879933513 0.794871828 0.680610134    0.00   0.00      1.00
102  0.9258203 0.8263637398 0.120239731 0.861084906    0.00   0.17      0.83
103  1.0000000 0.8518584790 0.765989866 0.476045453    0.00   0.00      1.00
104  1.0000000 0.9779911221 0.920767901 0.823066033    0.00   0.00      1.00
105  1.0000000 0.4865777474 0.784847471 0.620041155    0.00   0.00      1.00
106  0.8177734 0.0090003340 0.188231723 0.605798899    0.00   0.57      0.43
107  0.9993359 0.9500953923 0.446717388 0.827025290    0.00   0.00      1.00
108  0.7617578 0.4762265326 0.088443080 0.099161189    0.08   0.33      0.59
109  0.9995703 0.1853067081 0.585841635 0.814609091    0.00   0.00      1.00
110  0.9947656 0.9085211710 0.346898585 0.827071791    0.00   0.02      0.98
111  1.0000000 0.9882866382 0.997439078 0.442559470    0.00   0.00      1.00
112  0.9966797 0.3978357345 0.473518810 0.293321849    0.00   0.03      0.97
113  0.9883984 0.8031439029 0.285130109 0.335083648    0.00   0.07      0.93
114  1.0000000 0.0419591139 0.888250574 0.114584295    0.00   0.00      1.00
115  1.0000000 0.2995988100 0.840948875 0.033440261    0.00   0.00      1.00
116  0.9993750 0.0762719482 0.598175176 0.881555680    0.00   0.00      1.00
117  0.9892578 0.1155140102 0.426021777 0.726778977    0.00   0.04      0.96
118  0.9506250 0.8297557356 0.134810011 0.230800210    0.00   0.13      0.87
119  1.0000000 0.3207943246 0.942190434 0.866199132    0.00   0.00      1.00
120  0.9990625 0.9663358044 0.246398385 0.888434343    0.00   0.01      0.99
121  0.9679688 0.1167531032 0.346958708 0.247106496    0.00   0.14      0.86
122  0.9978125 0.5607632271 0.489374074 0.377429549    0.00   0.01      0.99
123  1.0000000 0.0365808341 0.941044121 0.461184371    0.00   0.00      1.00
124  0.9886719 0.1727891474 0.420979389 0.656372940    0.00   0.03      0.97
125  0.9127734 0.7181031490 0.152283061 0.059646728    0.01   0.23      0.76
126  0.9978125 0.2284966402 0.530270259 0.901487760    0.00   0.01      0.99
127  0.9999219 0.8114632319 0.590159428 0.348942218    0.00   0.00      1.00
128  1.0000000 0.7077704656 0.889902358 0.394042253    0.00   0.00      1.00
129  0.7198438 0.0887689374 0.134044301 0.524517037    0.00   0.71      0.29
130  0.9991797 0.7039404400 0.519474911 0.658704643    0.00   0.00      1.00
131  0.9948047 0.7798741870 0.392833537 0.487621372    0.00   0.04      0.96
