     prop.aneu   prob.meio   prob.mito   dispersal euploid mosaic aneuploid
84   0.9993750 0.687544809 0.567425620 0.610495797    0.00   0.01      0.99
85   1.0000000 0.272684435 0.758585589 0.746862474    0.00   0.00      1.00
86   1.0000000 0.116118794 0.758845845 0.558397655    0.00   0.00      1.00
87   1.0000000 0.217762804 0.787868201 0.999951583    0.00   0.00      1.00
88   0.9894922 0.424932616 0.380086890 0.249797970    0.00   0.03      0.97
89   1.0000000 0.879340222 0.737069923 0.216761979    0.00   0.00      1.00
90   0.9834766 0.715027351 0.331628540 0.135514657    0.00   0.08      0.92
91   1.0000000 0.987472764 0.889726858 0.468325897    0.00   0.00      1.00
92   0.9966406 0.905344317 0.370747279 0.821604828    0.00   0.04      0.96
93   0.9986328 0.094163683 0.549848269 0.728978599    0.00   0.01      0.99
94   1.0000000 0.788886661 0.904922846 0.227548786    0.00   0.00      1.00
95   0.5817578 0.196840847 0.072575298 0.410754886    0.05   0.67      0.28
96   1.0000000 0.580543508 0.701466929 0.222048136    0.00   0.00      1.00
97   0.9794531 0.478460595 0.343974084 0.526161757    0.00   0.09      0.91
98   0.9703125 0.138624755 0.344248958 0.212514237    0.00   0.16      0.84
99   1.0000000 0.530074316 0.854365697 0.151984676    0.00   0.00      1.00
100  0.9676172 0.839350842 0.197149741 0.016568788    0.00   0.08      0.92
101  1.0000000 0.298323698 0.852986712 0.832215632    0.00   0.00      1.00
102  0.9977344 0.183686981 0.515279459 0.084554706    0.00   0.01      0.99
103  0.8850781 0.581088891 0.149808481 0.976392215    0.00   0.35      0.65
104  0.9893359 0.540071770 0.375375407 0.891838744    0.00   0.06      0.94
105  0.9999219 0.670391731 0.677182570 0.870639950    0.00   0.00      1.00
106  0.9990625 0.379570302 0.557848373 0.303161459    0.00   0.00      1.00
107  0.6989062 0.149296176 0.119133769 0.434085563    0.01   0.73      0.26
108  1.0000000 0.583797687 0.660995710 0.596096848    0.00   0.00      1.00
109  1.0000000 0.962089582 0.480114939 0.165374037    0.00   0.00      1.00
110  0.9548828 0.039902578 0.331808603 0.287321182    0.00   0.14      0.86
111  0.9996094 0.475890180 0.596587655 0.030086118    0.00   0.00      1.00
112  0.8559766 0.533386952 0.111269349 0.068669042    0.07   0.19      0.74
113  0.9377734 0.937294936 0.038917460 0.254169671    0.04   0.03      0.93
114  0.8287891 0.193314219 0.176303711 0.827354034    0.00   0.56      0.44
115  0.9992969 0.868291260 0.394357822 0.736728883    0.00   0.00      1.00
116  0.9605859 0.459856887 0.279686330 0.421267002    0.00   0.16      0.84
117  1.0000000 0.242369437 0.813928024 0.944808393    0.00   0.00      1.00
118  1.0000000 0.467047767 0.714852348 0.054513664    0.00   0.00      1.00
119  1.0000000 0.137442504 0.984967201 0.385135019    0.00   0.00      1.00
120  1.0000000 0.721323061 0.833468613 0.115292441    0.00   0.00      1.00
121  0.9947656 0.860075090 0.320838815 0.640292506    0.00   0.03      0.97
122  0.6175000 0.642128760 0.010826168 0.870370530    0.28   0.13      0.59
123  0.9976172 0.206175576 0.530317369 0.112511267    0.00   0.00      1.00
124  1.0000000 0.976827576 0.641800995 0.880993697    0.00   0.00      1.00
125  0.9373438 0.367667513 0.260754773 0.369185363    0.00   0.21      0.79
126  0.9574219 0.012905360 0.317246464 0.854747197    0.00   0.15      0.85
127  0.9460156 0.418029831 0.256467348 0.700632936    0.00   0.18      0.82
128  0.9998828 0.593376173 0.662688652 0.115549186    0.00   0.00      1.00
129  0.9982813 0.647671128 0.445610629 0.746013683    0.00   0.00      1.00
130  0.9452344 0.262968786 0.277168356 0.553259731    0.00   0.25      0.75
131  0.4912109 0.300581967 0.039000437 0.423738109    0.20   0.51      0.29
132  1.0000000 0.026086118 0.989937543 0.527737428    0.00   0.00      1.00
133  1.0000000 0.763022822 0.676848207 0.569269616    0.00   0.00      1.00
134  0.9503906 0.407945472 0.291923213 0.004628302    0.00   0.19      0.81
135  0.9980078 0.755438160 0.447925151 0.161386845    0.00   0.01      0.99
136  1.0000000 0.848737814 0.743940751 0.775133080    0.00   0.00      1.00
137  1.0000000 0.242698663 0.822154320 0.038737414    0.00   0.00      1.00
138  0.9916016 0.334593533 0.414853620 0.425556644    0.00   0.03      0.97
139  0.9484766 0.137862254 0.285969946 0.553634498    0.00   0.15      0.85
140  0.9938281 0.235009907 0.464596326 0.543096082    0.00   0.05      0.95
141  1.0000000 0.611207717 0.771456799 0.322276678    0.00   0.00      1.00
142  1.0000000 0.025060617 0.908888841 0.502826669    0.00   0.00      1.00
143  0.9928906 0.056967985 0.463034705 0.358482337    0.00   0.05      0.95
144  0.9978516 0.227092593 0.505622807 0.884175215    0.00   0.01      0.99
145  0.9932813 0.527637671 0.409921893 0.598109737    0.00   0.01      0.99
146  1.0000000 0.464587887 0.751558250 0.606335643    0.00   0.00      1.00
147  0.4942969 0.441351954 0.024263529 0.107816106    0.35   0.25      0.40
148  0.9999609 0.652531788 0.678945282 0.461018965    0.00   0.00      1.00
149  0.9982813 0.259042544 0.535569980 0.464677659    0.00   0.02      0.98
150  0.9970703 0.025405873 0.506815005 0.160446780    0.00   0.00      1.00
151  0.9904688 0.417435962 0.410742923 0.197360397    0.00   0.03      0.97
152  1.0000000 0.043087850 0.923879890 0.098204827    0.00   0.00      1.00
153  1.0000000 0.975826939 0.787819748 0.987719366    0.00   0.00      1.00
154  1.0000000 0.685943053 0.669870737 0.437930244    0.00   0.00      1.00
155  0.9982031 0.972816764 0.230319476 0.285791929    0.00   0.01      0.99
156  1.0000000 0.478367863 0.727651102 0.334910451    0.00   0.00      1.00
157  1.0000000 0.743342698 0.602577581 0.428204504    0.00   0.00      1.00
158  1.0000000 0.535361425 0.924053127 0.493580996    0.00   0.00      1.00
159  0.7259375 0.589728790 0.072248880 0.862166141    0.02   0.45      0.53
160  1.0000000 0.068861120 0.945426147 0.636058654    0.00   0.00      1.00
161  1.0000000 0.082583440 0.899060235 0.596828524    0.00   0.00      1.00
162  1.0000000 0.403878564 0.841240427 0.302138586    0.00   0.00      1.00
163  0.9997266 0.694854774 0.569106410 0.397927754    0.00   0.01      0.99
164  0.5738281 0.101513444 0.088284754 0.777081313    0.01   0.82      0.17
165  0.9966016 0.357766763 0.469965383 0.074819696    0.00   0.03      0.97
166  0.9989062 0.040033294 0.571525281 0.222543486    0.00   0.00      1.00
167  0.9999609 0.043216392 0.688594905 0.250523197    0.00   0.00      1.00
168  0.7535547 0.254671744 0.133279554 0.181281254    0.00   0.62      0.38
169  0.8314453 0.662244272 0.092342628 0.473031070    0.00   0.33      0.67
170  1.0000000 0.611774657 0.751147939 0.605261359    0.00   0.00      1.00
171  1.0000000 0.424853756 0.788125065 0.609240142    0.00   0.00      1.00
172  0.9819922 0.612681801 0.332105942 0.388214561    0.00   0.09      0.91
173  0.8827344 0.567205651 0.147824204 0.634334384    0.00   0.34      0.66
174  0.8828516 0.375329834 0.201644546 0.723625030    0.00   0.44      0.56
175  0.9995703 0.052293718 0.597710521 0.816020153    0.00   0.00      1.00
176  1.0000000 0.976038024 0.281803741 0.625942638    0.00   0.00      1.00
177  0.7064453 0.332447641 0.097529517 0.914117977    0.01   0.61      0.38
178  0.9988281 0.844245327 0.519469980 0.296481234    0.00   0.00      1.00
179  0.9740234 0.903484268 0.099409012 0.569066887    0.00   0.05      0.95
180  0.9519531 0.819661239 0.113996458 0.838587855    0.00   0.12      0.88
181  0.9985937 0.853039091 0.370892891 0.902049506    0.00   0.00      1.00
182  1.0000000 0.795381634 0.864753745 0.271101539    0.00   0.00      1.00
183  0.7982031 0.145019838 0.167424875 0.376136915    0.00   0.63      0.37
184  0.6548828 0.213121697 0.102925313 0.970649409    0.02   0.76      0.22
185  0.9998438 0.089095686 0.693214189 0.778681785    0.00   0.00      1.00
186  1.0000000 0.934798301 0.721071773 0.953621631    0.00   0.00      1.00
187  0.9114062 0.459290390 0.196111518 0.328169587    0.00   0.32      0.68
188  1.0000000 0.988198174 0.410773497 0.162221308    0.00   0.00      1.00
189  0.9541016 0.062242688 0.311088490 0.611262243    0.00   0.25      0.75
190  0.7671875 0.502233854 0.080152554 0.213009519    0.08   0.34      0.58
191  0.7218750 0.531797237 0.069612403 0.995266663    0.07   0.40      0.53
192  0.8429297 0.026461619 0.204236931 0.139863682    0.00   0.49      0.51
193  0.9633594 0.078451776 0.332877562 0.095828006    0.00   0.13      0.87
194  0.9998828 0.682690549 0.587519072 0.407780039    0.00   0.00      1.00
195  0.8749609 0.044524793 0.222921978 0.469279659    0.00   0.44      0.56
196  0.9860547 0.145687705 0.398349380 0.864674396    0.00   0.11      0.89
197  1.0000000 0.675238658 0.781874565 0.891394337    0.00   0.00      1.00
198  0.9996875 0.216753908 0.568465817 0.974954954    0.00   0.01      0.99
199  1.0000000 0.314399233 0.913736663 0.222121441    0.00   0.00      1.00
200  0.9947656 0.577448172 0.404170521 0.545234001    0.00   0.04      0.96
201  0.8465234 0.679439557 0.102172704 0.675574222    0.00   0.34      0.66
202  0.9979687 0.099153555 0.525605010 0.886005028    0.00   0.02      0.98
203  0.8689844 0.184914962 0.201147414 0.295901844    0.00   0.43      0.57
204  1.0000000 0.178899869 0.989687769 0.722303948    0.00   0.00      1.00
205  0.9949219 0.815895098 0.349916044 0.364946977    0.00   0.01      0.99
206  0.9986719 0.270897613 0.541368224 0.410168747    0.00   0.02      0.98
207  0.8966016 0.670281827 0.146915836 0.679223590    0.00   0.26      0.74
208  1.0000000 0.892664111 0.718922679 0.087129968    0.00   0.00      1.00
209  0.9426953 0.498858853 0.248451452 0.702517868    0.00   0.22      0.78
210  0.6515234 0.698693854 0.014415615 0.095337545    0.28   0.11      0.61
211  1.0000000 0.985081471 0.770754260 0.310773316    0.00   0.00      1.00
212  0.9934375 0.013918458 0.474536470 0.363656024    0.00   0.04      0.96
213  1.0000000 0.805322750 0.864735136 0.717935686    0.00   0.00      1.00
214  0.9930469 0.952517345 0.217643375 0.336914085    0.00   0.02      0.98
215  1.0000000 0.899704849 0.933282415 0.308525910    0.00   0.00      1.00
216  0.9998828 0.147258184 0.715985666 0.754804491    0.00   0.00      1.00
217  1.0000000 0.327765775 0.784906965 0.293523039    0.00   0.00      1.00
218  0.8226953 0.501408593 0.128977756 0.688241639    0.00   0.46      0.54
219  0.8491406 0.625661904 0.090542465 0.690807484    0.00   0.30      0.70
220  0.9224219 0.819734475 0.079299995 0.705661413    0.00   0.14      0.86
221  0.9549219 0.060229169 0.310565833 0.153139275    0.00   0.17      0.83
222  0.9952344 0.499748712 0.445969526 0.267481723    0.00   0.03      0.97
223  1.0000000 0.777126282 0.837769824 0.882549307    0.00   0.00      1.00
224  0.9636719 0.266892238 0.295757691 0.899219767    0.00   0.16      0.84
225  1.0000000 0.332123357 0.680025212 0.693361654    0.00   0.00      1.00
226  1.0000000 0.265093487 0.722734846 0.562123438    0.00   0.00      1.00
227  0.9932422 0.170810658 0.449065772 0.134443162    0.00   0.04      0.96
228  0.9925000 0.692025500 0.368884946 0.243152877    0.00   0.03      0.97
229  0.8693359 0.090123072 0.205937287 0.807729602    0.00   0.41      0.59
