      prop.aneu    prob.meio    prob.mito   dispersal euploid mosaic aneuploid
80   0.71687500 0.0444715268 0.1368684827 0.966899919    0.00   0.68      0.32
81   0.99984375 0.8261504525 0.6022664588 0.675439198    0.00   0.00      1.00
82   1.00000000 0.6476120383 0.7340080538 0.783131276    0.00   0.00      1.00
83   0.99277344 0.6858236876 0.3730014928 0.561403874    0.00   0.04      0.96
84   0.70593750 0.4164324822 0.0743402818 0.572025181    0.01   0.56      0.43
85   0.92710938 0.5229389330 0.2266194306 0.585005660    0.00   0.28      0.72
86   0.98449219 0.2258955475 0.4064448404 0.575959197    0.00   0.06      0.94
87   0.99011719 0.1863747681 0.4133719618 0.161341547    0.00   0.05      0.95
88   0.82718750 0.6781849684 0.0884577532 0.738504271    0.00   0.31      0.69
89   1.00000000 0.3292543243 0.7365778647 0.405457682    0.00   0.00      1.00
90   0.99996094 0.0899669754 0.6654710369 0.159632330    0.00   0.00      1.00
91   0.66539063 0.1007424439 0.1180775051 0.148482261    0.04   0.70      0.26
92   0.99031250 0.0120917452 0.4253744667 0.270661863    0.00   0.04      0.96
93   0.99925781 0.8545352137 0.4489517473 0.569810754    0.00   0.01      0.99
94   0.99296875 0.1346811473 0.4650297125 0.066932970    0.00   0.05      0.95
95   0.96921875 0.3614133461 0.3360102815 0.810271838    0.00   0.20      0.80
96   0.97863281 0.7501300727 0.3021182138 0.046244408    0.00   0.10      0.90
97   1.00000000 0.2903672529 0.7938468056 0.371103085    0.00   0.00      1.00
98   0.99398438 0.2582171843 0.4438168893 0.304354788    0.00   0.00      1.00
99   0.99933594 0.8462681777 0.5339630169 0.892565159    0.00   0.01      0.99
100  1.00000000 0.5905304383 0.6327304614 0.499774965    0.00   0.00      1.00
101  0.99996094 0.7568277330 0.7115049246 0.038212211    0.00   0.01      0.99
102  0.98902344 0.2404220004 0.4157870908 0.401446351    0.00   0.04      0.96
103  0.99894531 0.9352379425 0.3768984838 0.309921540    0.00   0.00      1.00
104  0.87531250 0.5347942351 0.1372075758 0.530376646    0.00   0.33      0.67
105  0.97925781 0.2977249473 0.3571378009 0.146580715    0.00   0.08      0.92
106  1.00000000 0.2200870991 0.9446161243 0.012942785    0.00   0.00      1.00
107  0.84648437 0.0930520839 0.2087949316 0.576192964    0.00   0.54      0.46
108  0.99746094 0.5060356585 0.4954658153 0.604367439    0.00   0.00      1.00
109  0.97757812 0.0492063730 0.3585895919 0.896773307    0.00   0.11      0.89
110  0.89179688 0.1870022244 0.2276741434 0.173924335    0.00   0.39      0.61
111  0.99695312 0.1409890074 0.4819430814 0.815922680    0.00   0.01      0.99
112  1.00000000 0.8708967124 0.8939725047 0.275989079    0.00   0.00      1.00
113  0.99191406 0.0563935842 0.4339471571 0.076428791    0.00   0.06      0.94
114  0.54500000 0.1058119247 0.0938958919 0.658022797    0.01   0.89      0.10
115  0.97078125 0.0350131276 0.3484404203 0.615410979    0.00   0.21      0.79
116  0.99238281 0.1502126369 0.4338000205 0.690877966    0.00   0.03      0.97
117  1.00000000 0.5476148585 0.6704308880 0.231429234    0.00   0.00      1.00
118  0.99726563 0.0563732863 0.5255266794 0.866769104    0.00   0.00      1.00
119  0.89238281 0.4306803886 0.1873196978 0.531000450    0.00   0.36      0.64
120  0.98980469 0.4559742196 0.3906771936 0.211759478    0.00   0.02      0.98
121  0.95378906 0.8860096768 0.1074573491 0.648841138    0.00   0.11      0.89
122  1.00000000 0.9970378359 0.6540860296 0.290923306    0.00   0.00      1.00
123  1.00000000 0.4064377232 0.9494797704 0.757546516    0.00   0.00      1.00
124  1.00000000 0.4458255300 0.9492390433 0.142195727    0.00   0.00      1.00
125  0.99972656 0.5990381518 0.5586367464 0.053192094    0.00   0.01      0.99
126  0.88574219 0.1386366161 0.2283814452 0.812023247    0.00   0.38      0.62
