     prop.aneu   prob.meio   prob.mito    dispersal euploid mosaic aneuploid
82   1.0000000 0.865961736 0.851585682 0.7306448326    0.00   0.00      1.00
83   0.9573438 0.153751010 0.321035684 0.2886000427    0.00   0.17      0.83
84   1.0000000 0.796951605 0.968265758 0.7948075996    0.00   0.00      1.00
85   0.9967969 0.638110740 0.440005831 0.5246218725    0.00   0.01      0.99
86   0.9825391 0.297330634 0.378708556 0.2425501561    0.00   0.07      0.93
87   0.9993750 0.600850056 0.593934358 0.4296858869    0.00   0.01      0.99
88   0.8073047 0.387714476 0.128050214 0.8781280264    0.00   0.49      0.51
89   1.0000000 0.941403070 0.871869502 0.2006091464    0.00   0.00      1.00
90   0.9993750 0.890568847 0.490860463 0.9990457059    0.00   0.01      0.99
91   0.9984766 0.931080282 0.381838364 0.7253361964    0.00   0.02      0.98
92   0.9901172 0.887983139 0.197698567 0.8336603821    0.00   0.04      0.96
93   0.9997656 0.597401710 0.618334763 0.2997267579    0.00   0.00      1.00
94   0.9998438 0.595764640 0.699793302 0.8024302954    0.00   0.00      1.00
95   1.0000000 0.931415476 0.853063920 0.7331403063    0.00   0.00      1.00
96   1.0000000 0.514559454 0.803497048 0.3384785906    0.00   0.00      1.00
97   0.8600000 0.571925311 0.141473102 0.3007207788    0.01   0.33      0.66
98   0.9982813 0.907345419 0.378976039 0.8299980273    0.00   0.02      0.98
99   1.0000000 0.969142634 0.798121159 0.6436074502    0.00   0.00      1.00
100  0.9908203 0.246741207 0.418213489 0.2290617500    0.00   0.09      0.91
101  0.8162109 0.157045367 0.171757985 0.1793964626    0.01   0.50      0.49
102  0.9912109 0.274448093 0.419583977 0.1278780065    0.00   0.07      0.93
103  0.9999219 0.887034141 0.542997530 0.0626288296    0.00   0.00      1.00
104  1.0000000 0.037883524 0.850872478 0.7035868503    0.00   0.00      1.00
105  1.0000000 0.494897159 0.840115379 0.5690731588    0.00   0.00      1.00
106  1.0000000 0.054770687 0.932558902 0.8322239944    0.00   0.00      1.00
107  1.0000000 0.816278602 0.998480944 0.6821802182    0.00   0.00      1.00
108  0.9975781 0.063089963 0.503748888 0.2478083214    0.00   0.01      0.99
109  0.9993750 0.071935468 0.609782286 0.2497913367    0.00   0.00      1.00
110  0.9716406 0.228899444 0.348666756 0.0233017683    0.00   0.15      0.85
111  0.9941797 0.973510059 0.080359644 0.0393589395    0.00   0.01      0.99
112  0.9992578 0.803985537 0.492554016 0.9858046409    0.00   0.00      1.00
113  0.9804688 0.192742628 0.375417124 0.0996226063    0.00   0.09      0.91
114  0.9967578 0.765583384 0.384481485 0.6399956741    0.00   0.01      0.99
