     prop.aneu    prob.meio   prob.mito    dispersal euploid mosaic aneuploid
80   0.9998438 0.0865178932 0.661792455 0.6010286941    0.00   0.00      1.00
81   0.9999219 0.1450844058 0.648158434 0.0772669700    0.00   0.01      0.99
82   0.9352734 0.0122978268 0.281670165 0.1089205709    0.00   0.21      0.79
83   1.0000000 0.2837916566 0.951356992 0.5355591744    0.00   0.00      1.00
84   0.9902344 0.8337857649 0.296067351 0.7353595810    0.00   0.04      0.96
85   1.0000000 0.3572680908 0.759340632 0.3386720426    0.00   0.00      1.00
86   1.0000000 0.4945531951 0.908140676 0.0476987567    0.00   0.00      1.00
87   1.0000000 0.4243035009 0.877356630 0.4338353365    0.00   0.00      1.00
88   1.0000000 0.3090653352 0.868235383 0.9003465611    0.00   0.00      1.00
89   1.0000000 0.4014045908 0.918496960 0.2202479509    0.00   0.00      1.00
90   0.9960938 0.4292315280 0.478845901 0.7974768600    0.00   0.02      0.98
91   1.0000000 0.3406041767 0.904119299 0.0440390401    0.00   0.00      1.00
92   1.0000000 0.1517227453 0.815940827 0.3910332110    0.00   0.00      1.00
93   1.0000000 0.2149912736 0.963571500 0.6933636821    0.00   0.00      1.00
94   1.0000000 0.9780736400 0.642696264 0.8477594345    0.00   0.00      1.00
95   1.0000000 0.2479714267 0.832583052 0.9671299385    0.00   0.00      1.00
96   1.0000000 0.6435447566 0.857422171 0.6296707524    0.00   0.00      1.00
97   0.9923828 0.2475407920 0.452099774 0.8947019768    0.00   0.02      0.98
98   0.9719922 0.6863469791 0.265151858 0.6683982986    0.00   0.09      0.91
99   0.9891016 0.1520139854 0.415283538 0.0929189960    0.00   0.03      0.97
100  1.0000000 0.0272316714 0.811711567 0.3990482690    0.00   0.00      1.00
101  0.9916016 0.0842971050 0.441298899 0.0921677672    0.00   0.04      0.96
102  0.9010547 0.4232684029 0.188314832 0.0432918267    0.00   0.25      0.75
103  1.0000000 0.7635439956 0.941486030 0.9953098067    0.00   0.00      1.00
104  1.0000000 0.8840074816 0.959307662 0.5451377027    0.00   0.00      1.00
105  0.8386719 0.6097104461 0.103241539 0.9110739343    0.01   0.34      0.65
