      prop.aneu    prob.meio    prob.mito    dispersal euploid mosaic aneuploid
76   1.00000000 0.9300691353 0.6999177609 1.008806e-02    0.00   0.00      1.00
77   1.00000000 0.9279317167 0.9160716697 7.565153e-01    0.00   0.00      1.00
78   1.00000000 0.1918072761 0.8530183572 3.309920e-01    0.00   0.00      1.00
79   1.00000000 0.5191674354 0.8594720981 4.793565e-01    0.00   0.00      1.00
80   1.00000000 0.8264052959 0.9837205901 2.914186e-01    0.00   0.00      1.00
81   0.99992187 0.4521013813 0.6602250852 2.533640e-01    0.00   0.00      1.00
82   1.00000000 0.8917951437 0.7619798197 1.812932e-01    0.00   0.00      1.00
83   0.91535156 0.1589256227 0.2481703067 4.222719e-01    0.00   0.27      0.73
84   0.67660156 0.5513982489 0.0543989507 7.542014e-01    0.08   0.41      0.51
85   0.91152344 0.4254703948 0.2045544407 8.116103e-01    0.00   0.26      0.74
86   0.61132812 0.1718363434 0.0948573430 4.809754e-01    0.02   0.80      0.18
87   0.99898438 0.8550197452 0.4525899603 5.688285e-06    0.00   0.00      1.00
88   0.96613281 0.7549403158 0.2349709577 5.107035e-01    0.00   0.09      0.91
89   1.00000000 0.5940969654 0.7256684694 4.431582e-01    0.00   0.00      1.00
90   1.00000000 0.0344256291 0.8892063303 1.154214e-01    0.00   0.00      1.00
91   0.89296875 0.4428017966 0.1884602655 1.000475e-01    0.01   0.36      0.63
92   1.00000000 0.2436371704 0.9131469675 8.995399e-01    0.00   0.00      1.00
93   0.98843750 0.9049903811 0.2610473740 9.615729e-01    0.00   0.04      0.96
94   0.99949219 0.3930522641 0.5851160050 9.917341e-01    0.00   0.00      1.00
95   1.00000000 0.3914396774 0.7864245242 8.904004e-02    0.00   0.00      1.00
96   0.99535156 0.1764733579 0.4659650270 8.449326e-03    0.00   0.02      0.98
97   0.99761719 0.3228543657 0.5210632423 4.308462e-01    0.00   0.01      0.99
98   0.88480469 0.5609930637 0.1662347245 3.865381e-01    0.00   0.31      0.69
99   0.99992187 0.3154281073 0.6807872837 1.137593e-01    0.00   0.00      1.00
100  1.00000000 0.0874336092 0.8593635319 4.113042e-01    0.00   0.00      1.00
101  1.00000000 0.7662757216 0.7660399838 5.966261e-01    0.00   0.00      1.00
102  0.99703125 0.2646661149 0.5210670203 3.319229e-01    0.00   0.00      1.00
103  0.99886719 0.2537847441 0.5231455655 5.363808e-03    0.00   0.01      0.99
104  0.99781250 0.6344539083 0.4833640794 7.397890e-01    0.00   0.02      0.98
105  0.99734375 0.8926946591 0.3233406558 6.778661e-01    0.00   0.00      1.00
106  0.99996094 0.4059628113 0.7312730921 1.206389e-01    0.00   0.00      1.00
107  0.38207031 0.1469345191 0.0475011973 8.966576e-01    0.10   0.80      0.10
108  0.77750000 0.0433776597 0.1732192324 9.169874e-01    0.00   0.65      0.35
109  1.00000000 0.5644168432 0.9054861325 6.330866e-01    0.00   0.00      1.00
110  0.98800781 0.7535341450 0.3290339652 1.612116e-01    0.00   0.05      0.95
111  0.99945313 0.8978383422 0.5152360094 7.569770e-01    0.00   0.00      1.00
112  1.00000000 0.4280991473 0.9489484434 4.213710e-01    0.00   0.00      1.00
113  0.99937500 0.2368933649 0.6023449197 5.928115e-01    0.00   0.00      1.00
114  1.00000000 0.5377156152 0.7997623426 5.674088e-01    0.00   0.00      1.00
115  0.95558594 0.7440011995 0.1894897732 6.709849e-01    0.00   0.17      0.83
116  0.99937500 0.4032877681 0.5800559777 8.265730e-01    0.00   0.00      1.00
117  0.89152344 0.8309386729 0.0705256173 7.022622e-01    0.02   0.16      0.82
118  0.99910156 0.7067999078 0.5431579812 9.632103e-01    0.00   0.00      1.00
119  1.00000000 0.9207928949 0.8775162597 5.971170e-01    0.00   0.00      1.00
120  0.98199219 0.9425500846 0.1100443422 6.944534e-01    0.00   0.03      0.97
121  1.00000000 0.8465166604 0.7295495393 4.349649e-01    0.00   0.00      1.00
122  1.00000000 0.8977519283 0.6809190335 2.566525e-01    0.00   0.00      1.00
123  0.90609375 0.6231218081 0.1552833959 4.425634e-01    0.00   0.27      0.73
124  0.99476562 0.4362681299 0.4217895181 6.608616e-01    0.00   0.03      0.97
125  0.99996094 0.9073172857 0.6326060994 2.708129e-01    0.00   0.00      1.00
126  0.95039063 0.1874483472 0.2991565431 9.092652e-01    0.00   0.20      0.80
127  0.98093750 0.5601715241 0.3240748118 8.682370e-01    0.00   0.10      0.90
128  0.99953125 0.8359591358 0.4744087558 3.733701e-01    0.00   0.00      1.00
129  0.99441406 0.7720525367 0.3411674441 2.986866e-01    0.00   0.03      0.97
130  1.00000000 0.9465239265 0.9242489587 5.131048e-01    0.00   0.00      1.00
131  0.52472656 0.2928517053 0.0540611115 8.833528e-01    0.02   0.72      0.26
132  1.00000000 0.8777796635 0.7139267465 9.399184e-01    0.00   0.00      1.00
133  0.99960938 0.8183340197 0.4728335778 6.689331e-01    0.00   0.00      1.00
134  0.96417969 0.4682501112 0.2828585971 5.543197e-01    0.00   0.12      0.88
135  0.99984375 0.1720428027 0.6883704346 5.972329e-01    0.00   0.00      1.00
136  0.96886719 0.7394493876 0.2337167871 2.513400e-01    0.00   0.11      0.89
137  0.98351563 0.4077328509 0.3447777038 6.170702e-01    0.00   0.08      0.92
138  0.93093750 0.0892163282 0.2729558405 6.170423e-01    0.00   0.19      0.81
139  0.99773437 0.3344665819 0.5346447155 8.778804e-01    0.00   0.00      1.00
140  0.93832031 0.3926500529 0.2386425103 6.407630e-01    0.00   0.25      0.75
141  0.99972656 0.4220785440 0.6057357225 2.948646e-01    0.00   0.00      1.00
142  0.92179687 0.7386992169 0.0985111371 6.216442e-02    0.02   0.14      0.84
143  1.00000000 0.6276530128 0.9536231814 2.655258e-01    0.00   0.00      1.00
144  1.00000000 0.5220517218 0.7113247360 6.663784e-01    0.00   0.00      1.00
145  0.99562500 0.5548877500 0.4395911314 6.120141e-01    0.00   0.02      0.98
146  0.99976562 0.4679378476 0.6085258115 3.814829e-01    0.00   0.00      1.00
147  1.00000000 0.2558255028 0.8633523504 6.764470e-02    0.00   0.00      1.00
148  0.95878906 0.6883106066 0.2232889866 9.732055e-01    0.00   0.11      0.89
149  0.99949219 0.9439838380 0.4029564543 9.108260e-01    0.00   0.00      1.00
150  1.00000000 0.5198644563 0.9675071570 1.298868e-02    0.00   0.00      1.00
151  1.00000000 0.2938906592 0.8272338253 4.702193e-01    0.00   0.00      1.00
152  1.00000000 0.5067856165 0.9236387305 9.321999e-01    0.00   0.00      1.00
153  1.00000000 0.1934744976 0.9002539834 4.635353e-02    0.00   0.00      1.00
154  0.99949219 0.0517992196 0.6162938639 4.905735e-01    0.00   0.00      1.00
155  0.99542969 0.0475561104 0.4860062094 3.100865e-01    0.00   0.01      0.99
156  0.99972656 0.7123590317 0.6271235624 5.668628e-01    0.00   0.00      1.00
157  0.98136719 0.8001367310 0.2544697553 1.530778e-01    0.00   0.07      0.93
158  1.00000000 0.9803179863 0.9329335385 3.468943e-01    0.00   0.00      1.00
159  1.00000000 0.3002969762 0.9082014712 4.648604e-01    0.00   0.00      1.00
160  0.95324219 0.4953417717 0.2612332306 3.844425e-01    0.00   0.19      0.81
161  0.67808594 0.4391971903 0.0462301148 5.892927e-01    0.08   0.41      0.51
162  0.97707031 0.2851272195 0.3314961332 7.974788e-01    0.00   0.11      0.89
163  1.00000000 0.9776136614 0.7445215760 6.944578e-01    0.00   0.00      1.00
