      prop.aneu   prob.meio   prob.mito   dispersal euploid mosaic aneuploid
84   0.99453125 0.991426512 0.202468678 0.717097672    0.00   0.02      0.98
85   1.00000000 0.884492893 0.785723415 0.892570436    0.00   0.00      1.00
86   1.00000000 0.677310409 0.889188462 0.447436108    0.00   0.00      1.00
87   0.99191406 0.946269965 0.277831969 0.990379258    0.00   0.00      1.00
88   0.99687500 0.541339959 0.463128227 0.139465660    0.00   0.02      0.98
89   1.00000000 0.975717415 0.598919555 0.115368482    0.00   0.00      1.00
90   1.00000000 0.857117660 0.849652888 0.300700804    0.00   0.00      1.00
91   1.00000000 0.296929595 0.968102210 0.200462084    0.00   0.00      1.00
92   0.93394531 0.812871204 0.123264468 0.952248094    0.00   0.19      0.81
93   0.99066406 0.431149762 0.422141111 0.727009885    0.00   0.04      0.96
94   0.99464844 0.153328500 0.467815152 0.199392454    0.00   0.04      0.96
95   1.00000000 0.631976799 0.971002659 0.506217604    0.00   0.00      1.00
96   0.99851563 0.772172242 0.471554043 0.293143230    0.00   0.00      1.00
97   0.95507812 0.074976582 0.315582105 0.424951233    0.00   0.23      0.77
98   1.00000000 0.824963427 0.866251143 0.529391074    0.00   0.00      1.00
99   1.00000000 0.352392679 0.783727705 0.981328486    0.00   0.00      1.00
100  0.99988281 0.024227942 0.721140041 0.313705097    0.00   0.00      1.00
101  0.95320313 0.321220426 0.288026486 0.915458828    0.00   0.16      0.84
102  1.00000000 0.685255337 0.973847039 0.886226401    0.00   0.00      1.00
103  0.99398438 0.434048097 0.439214476 0.443390917    0.00   0.03      0.97
104  0.91035156 0.538449713 0.222865748 0.029949339    0.02   0.29      0.69
105  0.99984375 0.968442452 0.556515570 0.144372816    0.00   0.00      1.00
106  1.00000000 0.521080435 0.856856139 0.804707197    0.00   0.00      1.00
107  1.00000000 0.852683566 0.975922648 0.541037793    0.00   0.00      1.00
108  0.90285156 0.760268445 0.106089106 0.635488030    0.00   0.20      0.80
109  0.99996094 0.061752468 0.765768001 0.129764990    0.00   0.00      1.00
110  1.00000000 0.910826643 0.768481108 0.753464320    0.00   0.00      1.00
111  0.99835938 0.482812570 0.527021007 0.110039525    0.00   0.00      1.00
112  0.99695312 0.749801811 0.428367960 0.984985551    0.00   0.01      0.99
113  1.00000000 0.498330790 0.815976320 0.956562039    0.00   0.00      1.00
114  0.63382812 0.295904778 0.073726128 0.958387558    0.01   0.62      0.37
115  0.97722656 0.033831068 0.367604981 0.588224991    0.00   0.11      0.89
116  0.99960938 0.787713103 0.604008042 0.529856127    0.00   0.00      1.00
117  1.00000000 0.097402992 0.905453695 0.641701839    0.00   0.00      1.00
118  0.77820312 0.300684195 0.130638076 0.206156622    0.02   0.56      0.42
119  0.99933594 0.978652982 0.429343542 0.077436982    0.00   0.00      1.00
120  0.60402344 0.042113215 0.110502508 0.374470096    0.03   0.86      0.11
121  0.99781250 0.304508674 0.496339079 0.613042758    0.00   0.02      0.98
122  1.00000000 0.109813050 0.982832555 0.091451899    0.00   0.00      1.00
