"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"81",1,0.4795703,0.4233054,0.007916303,0.5,0.42,0.14,0.44
"82",2,0.4535938,0.3919202,0.010166011,0.5,0.49,0.11,0.4
"83",3,0.428125,0.2162937,0.023355471,0.5,0.36,0.32,0.32
"84",4,0.4025391,0.3205822,0.012302596,0.5,0.45,0.22,0.33
"85",5,0.5108203,0.3684951,0.027486596,0.5,0.29,0.31,0.4
"86",6,0.5186328,0.4808717,0.008581371,0.5,0.46,0.05,0.49
"87",7,0.3789453,0.3331203,0.011779079,0.5,0.52,0.17,0.31
"88",8,0.4045703,0.3565134,0.005979584,0.5,0.5,0.12,0.38
"89",9,0.5801563,0.4131831,0.0204362,0.5,0.25,0.25,0.5
"90",10,0.5878516,0.5050307,0.024197558,0.5,0.29,0.21,0.5
"91",1,0.625625,0.6334095,0.018092914,0.5,0.3,0.13,0.57
"92",2,0.4530469,0.2921158,0.017310952,0.5,0.4,0.25,0.35
"93",3,0.4170703,0.3965206,0.01744759,0.5,0.42,0.25,0.33
"94",4,0.5773438,0.4341472,0.028440661,0.5,0.22,0.29,0.49
"95",5,0.6000391,0.5697951,0.018563989,0.5,0.24,0.22,0.54
"96",6,0.5926172,0.4603333,0.031423405,0.5,0.2,0.32,0.48
"97",7,0.3237891,0.3681782,0.006401908,0.5,0.59,0.13,0.28
"98",8,0.5437891,0.4461994,0.020575771,0.5,0.3,0.24,0.46
"99",9,0.654375,0.5952049,0.02486994,0.5,0.24,0.19,0.57
"100",10,0.4885937,0.4484133,0.012940423,0.5,0.37,0.19,0.44
"101",1,0.6219531,0.5351661,0.030755055,0.5,0.19,0.28,0.53
"102",2,0.5009766,0.4102245,0.014577905,0.5,0.31,0.26,0.43
"103",3,0.57375,0.4182247,0.022335852,0.5,0.25,0.28,0.47
"104",4,0.4023047,0.360984,0.008127095,0.5,0.5,0.14,0.36
"105",5,0.5076563,0.3383468,0.025541485,0.5,0.4,0.18,0.42
"106",6,0.5863672,0.4478196,0.031877297,0.5,0.22,0.31,0.47
"107",7,0.4983594,0.4511174,0.014799136,0.5,0.41,0.17,0.42
"108",8,0.3975391,0.326851,0.012519984,0.5,0.45,0.21,0.34
"109",9,0.6002734,0.587902,0.009913341,0.5,0.31,0.13,0.56
"110",10,0.5739844,0.5096559,0.020933659,0.5,0.26,0.24,0.5
"111",1,0.5141016,0.3854572,0.02167367,0.5,0.28,0.3,0.42
"112",2,0.3367188,0.2832125,0.009587477,0.5,0.59,0.12,0.29
"113",3,0.5139063,0.3681613,0.006846435,0.5,0.41,0.1,0.49
"114",4,0.5264453,0.4351547,0.021127729,0.5,0.31,0.25,0.44
"115",5,0.5501172,0.4632394,0.004668312,0.5,0.39,0.08,0.53
"116",6,0.4828906,0.414726,0.019593361,0.5,0.36,0.26,0.38
"117",7,0.5032422,0.4783211,0.018061689,0.5,0.28,0.3,0.42
"118",8,0.3113672,0.3337494,0.007397691,0.5,0.58,0.15,0.27
"119",9,0.6508594,0.6260471,0.008157203,0.5,0.3,0.08,0.62
"120",10,0.6283594,0.5361624,0.026254883,0.5,0.2,0.26,0.54
"121",1,0.5288672,0.5118525,0.001774178,0.5,0.45,0.03,0.52
"122",2,0.6792578,0.4887594,0.030530249,0.5,0.15,0.26,0.59
"123",3,0.6403516,0.6221544,0.01855821,0.5,0.23,0.18,0.59
"124",4,0.6051172,0.6437593,0.00883121,0.5,0.33,0.1,0.57
"125",5,0.4923438,0.4140731,0.030715292,0.5,0.32,0.3,0.38
"126",6,0.6932812,0.5933097,0.022809322,0.5,0.2,0.18,0.62
"127",7,0.4391016,0.2621556,0.010296099,0.5,0.43,0.18,0.39
"128",8,0.4555859,0.3560068,0.006390465,0.5,0.48,0.1,0.42
"129",9,0.6521094,0.5673797,0.023185477,0.5,0.17,0.25,0.58
"130",10,0.5692187,0.5015854,0.019029772,0.5,0.3,0.18,0.52
"131",1,0.5501563,0.4503286,0.0144485706,0.5,0.27,0.24,0.49
"132",2,0.3825,0.2539544,0.0177107037,0.5,0.42,0.29,0.29
"133",3,0.5349219,0.4394816,0.0295827261,0.5,0.23,0.35,0.42
"134",4,0.5146094,0.4424456,0.0202112671,0.5,0.31,0.27,0.42
"135",5,0.5930859,0.4686086,0.0306810478,0.5,0.24,0.28,0.48
"136",6,0.5045312,0.4321376,0.0108259998,0.5,0.43,0.1,0.47
"137",7,0.3388281,0.2017155,0.0150110619,0.5,0.45,0.3,0.25
"138",8,0.4317187,0.3601667,0.019230875,0.5,0.38,0.29,0.33
"139",9,0.4616406,0.5436717,0.0004425482,0.5,0.53,0.01,0.46
"140",10,0.4996094,0.4031726,0.0329077186,0.5,0.26,0.37,0.37
"141",1,0.5187891,0.3156137,0.018489471,0.5,0.35,0.22,0.43
"142",2,0.4402734,0.4092842,0.010591455,0.5,0.42,0.19,0.39
"143",3,0.5811719,0.5053543,0.027488519,0.5,0.24,0.27,0.49
"144",4,0.4596094,0.4094866,0.011321105,0.5,0.42,0.18,0.4
"145",5,0.3701953,0.3902743,0.007822587,0.5,0.51,0.16,0.33
"146",6,0.4363281,0.374448,0.015769195,0.5,0.4,0.23,0.37
"147",7,0.4075391,0.3010076,0.015316587,0.5,0.5,0.15,0.35
"148",8,0.5430859,0.3409588,0.016958464,0.5,0.29,0.24,0.47
"149",9,0.540625,0.4492786,0.018514718,0.5,0.26,0.28,0.46
"150",10,0.5870703,0.4882193,0.019909112,0.5,0.25,0.23,0.52
"151",1,0.4764844,0.3725469,0.007367108,0.5,0.43,0.14,0.43
"152",2,0.6252734,0.6449358,0.017639243,0.5,0.31,0.12,0.57
