"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"77",7,0.4623828,0.4233825,0.015063585,0.4810783,0.41,0.19,0.4
"78",8,0.5899609,0.4083667,0.036537297,0.2818859,0.24,0.29,0.47
"79",9,0.5879688,0.5590383,0.017397356,0.2222456,0.3,0.18,0.52
"80",10,0.5239453,0.3718972,0.028856785,0.2162439,0.34,0.26,0.4
"81",1,0.4060547,0.3656643,0.01501547,0.90196804,0.4,0.28,0.32
"82",2,0.6196094,0.5712207,0.03751582,0.07879658,0.22,0.29,0.49
"83",3,0.6010937,0.5475502,0.02787763,0.66184336,0.18,0.32,0.5
"84",4,0.6360547,0.5640446,0.02631297,0.13686551,0.22,0.22,0.56
"85",5,0.4426562,0.3286826,0.00946109,0.53466817,0.43,0.18,0.39
"86",6,0.4891016,0.435792,0.0106716,0.4305196,0.46,0.1,0.44
"87",7,0.6140234,0.5730866,0.01083159,0.95083411,0.23,0.2,0.57
"88",8,0.6105469,0.5217688,0.02338082,0.58974022,0.28,0.18,0.54
"89",9,0.5026172,0.5215321,0.00879282,0.63651889,0.4,0.13,0.47
"90",10,0.5983984,0.4675716,0.0189431,0.99648411,0.19,0.28,0.53
"91",1,0.6257812,0.5710063,0.01134183,0.08362997,0.31,0.09,0.6
"92",2,0.5937109,0.5010794,0.01737889,0.40489665,0.23,0.24,0.53
"93",3,0.4230859,0.2861389,0.02783607,0.14952585,0.45,0.27,0.28
"94",4,0.5837109,0.4287249,0.03054109,0.39974391,0.25,0.28,0.47
"95",5,0.3719922,0.2961566,0.01334794,0.59754555,0.49,0.2,0.31
"96",6,0.6315234,0.508711,0.03957442,0.33548693,0.15,0.36,0.49
"97",7,0.5265234,0.4329883,0.02824807,0.64677273,0.22,0.36,0.42
"98",8,0.4764453,0.4221832,0.01810239,0.3780333,0.33,0.28,0.39
"99",9,0.6266406,0.5986114,0.01602664,0.81091823,0.24,0.18,0.58
"100",10,0.7137891,0.5964665,0.03396616,0.30493797,0.2,0.18,0.62
"101",1,0.404375,0.3928248,0.004577079,0.96734694,0.51,0.11,0.38
"102",2,0.6114844,0.4680805,0.023047923,0.39835662,0.23,0.25,0.52
"103",3,0.4742969,0.3824163,0.036237169,0.09248031,0.42,0.21,0.37
"104",4,0.46125,0.4188837,0.006602015,0.99533633,0.44,0.13,0.43
"105",5,0.6351953,0.5133983,0.026666272,0.14975425,0.26,0.2,0.54
"106",6,0.3616797,0.330011,0.00990651,0.44909797,0.52,0.18,0.3
"107",7,0.4085937,0.2059701,0.034798094,0.02247981,0.39,0.3,0.31
"108",8,0.6059375,0.336601,0.060372801,0.02447301,0.28,0.29,0.43
"109",9,0.625625,0.5434052,0.033971189,0.09901285,0.22,0.28,0.5
"110",10,0.4750391,0.4280719,0.020809215,0.54383428,0.35,0.27,0.38
"111",1,0.4877734,0.4657025,0.007827421,0.83035231,0.4,0.15,0.45
"112",2,0.6128906,0.6730429,0.003824929,0.24429198,0.37,0.03,0.6
"113",3,0.5579297,0.4456038,0.0272132,0.53252338,0.25,0.27,0.48
"114",4,0.4085156,0.1804217,0.035243946,0.04967606,0.41,0.35,0.24
"115",5,0.6312109,0.4745207,0.046886932,0.10295777,0.2,0.31,0.49
"116",6,0.3743359,0.183617,0.012606401,0.71793324,0.4,0.31,0.29
"117",7,0.4309375,0.4612463,0.007673439,0.56535441,0.51,0.09,0.4
"118",8,0.6028516,0.6164763,0.01764422,0.85534488,0.21,0.26,0.53
"119",9,0.5530078,0.4263964,0.010363412,0.00739686,0.35,0.15,0.5
"120",10,0.5808984,0.3850181,0.052398911,0.08545075,0.2,0.37,0.43
"121",1,0.6433203,0.5681142,0.020769818,0.4841911,0.22,0.2,0.58
"122",2,0.6651563,0.6107532,0.02458814,0.3100803,0.22,0.18,0.6
"123",3,0.5651563,0.5352754,0.01312163,0.1069693,0.36,0.12,0.52
"124",4,0.5023047,0.5294749,0.009995631,0.334451,0.42,0.12,0.46
"125",5,0.6537891,0.6319465,0.018958183,0.746486,0.17,0.25,0.58
"126",6,0.6410547,0.6457914,0.012784761,0.4189772,0.27,0.14,0.59
"127",7,0.5293359,0.4555963,0.016006741,0.21048,0.41,0.11,0.48
"128",8,0.5144922,0.3777631,0.018827813,0.2300411,0.37,0.19,0.44
"129",9,0.7042188,0.5569252,0.055316716,0.1328448,0.15,0.29,0.56
"130",10,0.6567969,0.5971422,0.029332735,0.3915036,0.2,0.23,0.57
"131",1,0.4335156,0.4702571,0.006080447,0.53711368,0.52,0.07,0.41
"132",2,0.5245313,0.497402,0.005610662,0.63000523,0.45,0.05,0.5
"133",3,0.5841797,0.4018548,0.037610845,0.37488726,0.24,0.31,0.45
"134",4,0.3768359,0.4116941,0.008696457,0.21831879,0.55,0.11,0.34
"135",5,0.420625,0.3952981,0.003347481,0.53931053,0.5,0.1,0.4
"136",6,0.5295703,0.4497972,0.021807975,0.09574155,0.39,0.16,0.45
"137",7,0.6453125,0.5073321,0.046554757,0.42867434,0.14,0.36,0.5
"138",8,0.4448437,0.3991513,0.020111643,0.82601646,0.39,0.25,0.36
"139",9,0.6125781,0.5237671,0.023979395,0.44149437,0.26,0.22,0.52
"140",10,0.5652734,0.4797705,0.022415422,0.29401019,0.26,0.28,0.46
