"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"547",7,0.6252344,0.4438614,0.04440446,0,0.27,0.23,0.5
"548",8,0.4703125,0.3713966,0.02879462,0,0.44,0.19,0.37
"549",9,0.5549609,0.4727947,0.03195244,0,0.38,0.18,0.44
"550",10,0.5329297,0.2881046,0.04011116,0,0.38,0.17,0.45
"551",1,0.5092578,0.4106554,0.02594764,0,0.41,0.16,0.43
"552",2,0.5263281,0.3804002,0.03079037,0,0.38,0.21,0.41
"553",3,0.3996875,0.4583433,0.01143067,0,0.51,0.13,0.36
"554",4,0.5826172,0.4611497,0.03144629,0,0.29,0.19,0.52
"555",5,0.6178516,0.4823236,0.04077347,0,0.3,0.17,0.53
"556",6,0.6292578,0.4453206,0.04932161,0,0.23,0.27,0.5
"557",7,0.6105859,0.2190441,0.07396716,0,0.29,0.3,0.41
"558",8,0.4972656,0.4151008,0.01925086,0,0.38,0.16,0.46
"559",9,0.5655078,0.3924532,0.04314906,0,0.36,0.2,0.44
"560",10,0.5151172,0.2739381,0.04311415,0,0.36,0.25,0.39
"561",1,0.5654687,0.4079408,0.02780435,0,0.38,0.13,0.49
"562",2,0.4710547,0.3139919,0.02506543,0,0.38,0.21,0.41
"563",3,0.3924219,0.3517749,0.01501192,0,0.53,0.13,0.34
"564",4,0.4878906,0.3709806,0.02442017,0,0.45,0.12,0.43
"565",5,0.6600781,0.3510694,0.07305532,0,0.24,0.28,0.48
"566",6,0.5020313,0.4490519,0.02166737,0,0.39,0.18,0.43
"567",7,0.6185938,0.478061,0.04814426,0,0.26,0.22,0.52
"568",8,0.6183594,0.3448091,0.04731195,0,0.3,0.2,0.5
"569",9,0.5017578,0.4268002,0.01981068,0,0.46,0.1,0.44
"570",10,0.5228125,0.4033756,0.02631926,0,0.33,0.24,0.43
"571",1,0.4890234,0.409793,0.03013684,0,0.38,0.23,0.39
"572",2,0.6389844,0.3873094,0.06715245,0,0.28,0.28,0.44
"573",3,0.4554687,0.2515886,0.02908968,0,0.45,0.19,0.36
