"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"1882",0.4930944,0.01699298,0.5,0.36,0.23,0.41
"1883",0.5623546,0.00277382,0.5,0.4,0.05,0.55
"1884",0.4388468,0.01047061,0.5,0.44,0.11,0.45
"1885",0.361346,0.01846566,0.5,0.44,0.2,0.36
"1886",0.5131988,0.02714948,0.5,0.19,0.3,0.51
"1887",0.4744834,0.01359295,0.5,0.45,0.19,0.36
"1888",0.5854752,0.02351054,0.5,0.2,0.21,0.59
"1889",0.2888565,0.01762692,0.5,0.46,0.31,0.23
"1890",0.4097963,0.01252504,0.5,0.27,0.16,0.57
"1891",0.5565785,0.018249098,0.5,0.27,0.24,0.49
"1892",0.4313889,0.012820573,0.5,0.44,0.22,0.34
"1893",0.4298041,0.015603951,0.5,0.33,0.18,0.49
"1894",0.406391,0.021503641,0.5,0.27,0.29,0.44
"1895",0.2969023,0.012720744,0.5,0.42,0.21,0.37
"1896",0.5052244,0.012450474,0.5,0.43,0.11,0.46
"1897",0.5261039,0.029600092,0.5,0.21,0.27,0.52
"1898",0.3651955,0.026052881,0.5,0.36,0.26,0.38
"1899",0.4062531,0.012821968,0.5,0.36,0.19,0.45
"1900",0.3615332,0.008405304,0.5,0.46,0.15,0.39
"1901",0.4667982,0.012081315,0.5,0.43,0.14,0.43
"1902",0.4379311,0.01598038,0.5,0.47,0.17,0.36
"1903",0.3811383,0.029907869,0.5,0.4,0.34,0.26
"1904",0.3701914,0.009489845,0.5,0.54,0.1,0.36
"1905",0.4560215,0.002024461,0.5,0.47,0.1,0.43
"1906",0.5959458,0.050242461,0.5,0.07,0.37,0.56
"1907",0.5327293,0.018822926,0.5,0.22,0.17,0.61
"1908",0.5903251,0.031806342,0.5,0.17,0.31,0.52
"1909",0.2953758,0.017440112,0.5,0.5,0.28,0.22
"1910",0.2718067,0.015397899,0.5,0.54,0.2,0.26
"1911",0.4141767,0.0299007387,0.5,0.2,0.38,0.42
"1912",0.6354596,0.0439834897,0.5,0.14,0.26,0.6
"1913",0.5900173,0.0166596752,0.5,0.26,0.19,0.55
"1914",0.6341123,0.0483573687,0.5,0.12,0.26,0.62
"1915",0.4394898,0.0274461568,0.5,0.25,0.31,0.44
"1916",0.3881476,0.0028839544,0.5,0.59,0.06,0.35
"1917",0.3963942,0.0099777933,0.5,0.42,0.06,0.52
"1918",0.5439214,0.0106447276,0.5,0.31,0.11,0.58
"1919",0.4884875,0.026016142,0.5,0.22,0.29,0.49
"1920",0.4660376,0.0009856753,0.5,0.48,0,0.52
"1921",0.2514226,0.022005472,0.5,0.42,0.29,0.29
"1922",0.5244624,0.015252883,0.5,0.34,0.17,0.49
"1923",0.2899007,0.013933026,0.5,0.38,0.32,0.3
"1924",0.6296062,0.008420325,0.5,0.28,0.14,0.58
"1925",0.3482775,0.013498443,0.5,0.4,0.2,0.4
"1926",0.405816,0.019370015,0.5,0.31,0.25,0.44
"1927",0.477302,0.041577147,0.5,0.23,0.28,0.49
"1928",0.4053431,0.014093159,0.5,0.4,0.19,0.41
"1929",0.3726772,0.007947033,0.5,0.43,0.15,0.42
"1930",0.594886,0.015164873,0.5,0.34,0.21,0.45
"1931",0.3420297,0.024937773,0.5,0.31,0.36,0.33
"1932",0.4827471,0.017016485,0.5,0.3,0.21,0.49
"1933",0.3238941,0.014927222,0.5,0.41,0.28,0.31
"1934",0.6226098,0.019963423,0.5,0.23,0.13,0.64
"1935",0.313068,0.018378834,0.5,0.4,0.29,0.31
"1936",0.520044,0.027324423,0.5,0.22,0.26,0.52
"1937",0.6209319,0.029405022,0.5,0.18,0.27,0.55
"1938",0.5480445,0.008189531,0.5,0.32,0.14,0.54
"1939",0.4286703,0.024670029,0.5,0.21,0.37,0.42
"1940",0.4995515,0.014799366,0.5,0.3,0.2,0.5
"1941",0.2983912,0.019833807,0.5,0.39,0.29,0.32
"1942",0.5060814,0.013307444,0.5,0.31,0.17,0.52
"1943",0.6617814,0.03075916,0.5,0.19,0.22,0.59
"1944",0.4526682,0.007920446,0.5,0.41,0.1,0.49
"1945",0.5561541,0.012243853,0.5,0.46,0.09,0.45
"1946",0.3751051,0.015627488,0.5,0.38,0.22,0.4
"1947",0.570941,0.025160411,0.5,0.25,0.23,0.52
"1948",0.4356832,0.034350674,0.5,0.19,0.36,0.45
"1949",0.5830271,0.011032643,0.5,0.28,0.15,0.57
"1950",0.6016529,0.011556706,0.5,0.37,0.1,0.53
"1951",0.5418357,0.018624285,0.5,0.27,0.21,0.52
"1952",0.4271796,0.015234919,0.5,0.41,0.21,0.38
"1953",0.392724,0.004745653,0.5,0.52,0.05,0.43
"1954",0.468423,0.002878523,0.5,0.49,0.03,0.48
"1955",0.3203028,0.024895814,0.5,0.4,0.3,0.3
"1956",0.3371278,0.00842619,0.5,0.43,0.14,0.43
"1957",0.5461135,0.006222018,0.5,0.34,0.13,0.53
"1958",0.6114832,0.021051464,0.5,0.21,0.18,0.61
"1959",0.4226935,0.021937169,0.5,0.21,0.33,0.46
"1960",0.379391,0.00480704,0.5,0.52,0.08,0.4
"1961",0.26739425,0.12838796,0.5,0,0.58,0.42
"1962",0.36873812,0.09974189,0.5,0.02,0.56,0.42
"1963",0.49773355,0.1276575,0.5,0,0.57,0.43
"1964",0.07576487,0.22539817,0.5,0,0.56,0.44
"1965",0.20517255,0.1690709,0.5,0,0.56,0.44
"1966",0.38959009,0.03038646,0.5,0.17,0.42,0.41
"1967",0.38771499,0.0155589,0.5,0.41,0.18,0.41
"1968",0.42737127,0.03882243,0.5,0.18,0.41,0.41
"1969",0.41232983,0.05391298,0.5,0.11,0.48,0.41
"1970",0.30340303,0.14597265,0.5,0,0.57,0.43
"1971",0.5026537,0.00353427,0.5,0.42,0.06,0.52
"1972",0.6273389,0.020005245,0.5,0.22,0.13,0.65
"1973",0.3868201,0.01284182,0.5,0.51,0.17,0.32
"1974",0.481707,0.036334722,0.5,0.22,0.27,0.51
"1975",0.2996525,0.012156331,0.5,0.54,0.22,0.24
"1976",0.402558,0.037633085,0.5,0.2,0.32,0.48
"1977",0.5518,0.02124839,0.5,0.17,0.29,0.54
"1978",0.5720258,0.009021104,0.5,0.36,0.11,0.53
"1979",0.4159569,0.020397406,0.5,0.3,0.26,0.44
"1980",0.489209,0.028998926,0.5,0.2,0.36,0.44
"1981",0.4876204,0.033716305,0.5,0.23,0.23,0.54
"1982",0.4867624,0.024784968,0.5,0.2,0.31,0.49
"1983",0.6088983,0.007177675,0.5,0.38,0.09,0.53
