"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"1",1,0.5843359,0.4082724,0.0281348808,1,0.16,0.37,0.47
"2",2,0.3409766,0.3558375,0.0044300614,1,0.59,0.1,0.31
"3",3,0.7017187,0.7178548,0.0078443636,1,0.23,0.09,0.68
"4",4,0.5949219,0.5358181,0.0018651071,1,0.37,0.05,0.58
"5",5,0.6022266,0.4937749,0.022847326,1,0.18,0.29,0.53
"6",6,0.5398437,0.4477698,0.0229163666,1,0.23,0.31,0.46
"7",7,0.3737109,0.3080133,0.005210998,1,0.51,0.15,0.34
"8",8,0.5059375,0.5334167,0.0006537635,1,0.46,0.04,0.5
"9",9,0.4267578,0.2872088,0.0059553694,1,0.45,0.15,0.4
"10",10,0.3947656,0.3665983,0.0053339291,1,0.52,0.11,0.37
"11",1,0.3935547,0.3004301,0.003642705,1,0.54,0.08,0.38
"12",2,0.4157812,0.4516876,0.012879255,1,0.44,0.19,0.37
"13",3,0.4390234,0.3896796,0.018493386,1,0.27,0.36,0.37
"14",4,0.6459375,0.574513,0.002296296,1,0.32,0.04,0.64
"15",5,0.6173047,0.4402942,0.018207614,1,0.18,0.27,0.55
"16",6,0.3104297,0.2608121,0.009430771,1,0.47,0.27,0.26
"17",7,0.4354688,0.4134619,0.010669346,1,0.38,0.24,0.38
"18",8,0.4277734,0.3627822,0.010816009,1,0.38,0.26,0.36
"19",9,0.3431641,0.2545824,0.012175901,1,0.42,0.3,0.28
"20",10,0.3484375,0.231953,0.013920394,1,0.41,0.32,0.27
"21",1,0.6047266,0.5867908,0.013711595,1,0.25,0.19,0.56
"22",2,0.6647656,0.6003628,0.019173699,1,0.19,0.2,0.61
"23",3,0.5923437,0.5110083,0.028671594,1,0.19,0.32,0.49
"24",4,0.5616016,0.5448992,0.00950726,1,0.36,0.11,0.53
"25",5,0.4937109,0.4589337,0.002336521,1,0.45,0.08,0.47
"26",6,0.489375,0.4616254,0.016806145,1,0.33,0.26,0.41
"27",7,0.5334375,0.4698764,0.008854661,1,0.34,0.17,0.49
"28",8,0.4191406,0.4176137,0.002374616,1,0.55,0.04,0.41
"29",9,0.6158984,0.5383952,0.019580893,1,0.2,0.25,0.55
"30",10,0.5508984,0.5587534,0.016879563,1,0.28,0.23,0.49
"31",1,0.5935547,0.6099719,0.001789165,1,0.38,0.03,0.59
"32",2,0.6528516,0.6277723,0.015830688,1,0.18,0.21,0.61
"33",3,0.6267578,0.5523602,0.020127422,1,0.19,0.26,0.55
"34",4,0.4803906,0.3631673,0.022311747,1,0.24,0.39,0.37
"35",5,0.5982422,0.5216779,0.026639224,1,0.2,0.3,0.5
"36",6,0.57625,0.5100468,0.016015421,1,0.25,0.23,0.52
"37",7,0.4567578,0.4312559,0.015818802,1,0.32,0.3,0.38
"38",8,0.5812891,0.4143196,0.032305509,1,0.13,0.4,0.47
"39",9,0.3555859,0.2972756,0.01326864,1,0.45,0.26,0.29
"40",10,0.6772656,0.6451657,0.010795084,1,0.18,0.18,0.64
"41",1,0.6096875,0.5772167,0.02346098,1,0.19,0.28,0.53
"42",2,0.5569531,0.5918979,0.004362901,1,0.35,0.11,0.54
"43",3,0.6020703,0.5724613,0.038145631,1,0.15,0.35,0.5
"44",4,0.5130078,0.4522632,0.021735539,1,0.27,0.3,0.43
"45",5,0.59875,0.5759853,0.02378816,1,0.19,0.28,0.53
"46",6,0.5567188,0.4237403,0.029108663,1,0.14,0.39,0.47
"47",7,0.5203516,0.5611224,0.008769838,1,0.35,0.16,0.49
"48",8,0.6075,0.6211577,0.011147435,1,0.23,0.2,0.57
"49",9,0.6859766,0.549013,0.038128967,1,0.08,0.32,0.6
"50",10,0.4207812,0.4173193,0.016167241,1,0.31,0.34,0.35
"51",1,0.5054688,0.4581496,0.021643577,1,0.27,0.31,0.42
"52",2,0.5195312,0.470576,0.014824854,1,0.3,0.24,0.46
"53",3,0.6533594,0.6567131,0.022627932,1,0.2,0.22,0.58
"54",4,0.4148438,0.2744338,0.023642582,1,0.4,0.29,0.31
"55",5,0.4808984,0.4405442,0.004366039,1,0.46,0.08,0.46
"56",6,0.5824609,0.6240096,0.019421832,1,0.19,0.31,0.5
"57",7,0.445625,0.431203,0.001730625,1,0.52,0.04,0.44
"58",8,0.5675,0.524182,0.020391116,1,0.18,0.33,0.49
"59",9,0.3703516,0.2871435,0.010741474,1,0.48,0.2,0.32
"60",10,0.5325781,0.4141422,0.018797667,1,0.3,0.24,0.46
"61",1,0.5104297,0.3685179,0.0245712413,1,0.21,0.39,0.4
"62",2,0.4425391,0.3942231,0.0009910506,1,0.56,0,0.44
"63",3,0.2744141,0.2241806,0.0043983115,1,0.58,0.17,0.25
"64",4,0.3404297,0.2600352,0.0135830229,1,0.43,0.3,0.27
"65",5,0.4718359,0.363435,0.0054171328,1,0.45,0.1,0.45
"66",6,0.616875,0.569156,0.0082004203,1,0.32,0.08,0.6
"67",7,0.2939844,0.2030173,0.0111857203,1,0.53,0.24,0.23
"68",8,0.6076172,0.4557737,0.0174521229,1,0.24,0.21,0.55
"69",9,0.4070703,0.3502325,0.0086329463,1,0.46,0.18,0.36
"70",10,0.5764453,0.4553774,0.0213353639,1,0.24,0.25,0.51
"71",1,0.5385156,0.4559383,0.023329842,1,0.19,0.38,0.43
"72",2,0.5630859,0.5267157,0.024939292,1,0.16,0.38,0.46
"73",3,0.5598047,0.3496031,0.035467779,1,0.19,0.38,0.43
"74",4,0.5894141,0.5635484,0.004530071,1,0.38,0.05,0.57
"75",5,0.6880859,0.7285749,0.017181847,1,0.17,0.18,0.65
"76",6,0.6459375,0.548089,0.024014308,1,0.18,0.25,0.57
"77",7,0.6559375,0.6615261,0.017036517,1,0.2,0.19,0.61
"78",8,0.5017578,0.4432313,0.028146877,1,0.26,0.35,0.39
"79",9,0.6795313,0.5965219,0.033768709,1,0.1,0.32,0.58
"80",10,0.5767187,0.569699,0.010893784,1,0.31,0.15,0.54
"81",1,0.4833203,0.5325869,0.014692006,1,0.34,0.24,0.42
"82",2,0.3979297,0.3901059,0.018296289,1,0.36,0.34,0.3
"83",3,0.4105078,0.3993348,0.016156588,1,0.37,0.29,0.34
"84",4,0.3469922,0.2445311,0.010671768,1,0.47,0.23,0.3
"85",5,0.2853516,0.2530178,0.010182069,1,0.52,0.25,0.23
"86",6,0.4426172,0.3728593,0.014996315,1,0.31,0.32,0.37
"87",7,0.5901563,0.4530549,0.014936128,1,0.27,0.2,0.53
"88",8,0.4505859,0.448417,0.019207117,1,0.33,0.31,0.36
"89",9,0.3887109,0.2516934,0.011212841,1,0.45,0.22,0.33
"90",10,0.4383984,0.3320588,0.001759868,1,0.53,0.04,0.43
"91",1,0.5386328,0.440628378,0.02285429,1,0.24,0.32,0.44
