   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.3915625 0.3076069 0.016882354    0.52   0.16      0.32
2  0.4626562 0.3016982 0.019523094    0.48   0.17      0.35
3  0.3606641 0.3936932 0.007065597    0.55   0.12      0.33
4  0.4262109 0.2245645 0.031127522    0.49   0.21      0.30
5  0.5848437 0.2895472 0.045499092    0.31   0.23      0.46
6  0.6057031 0.4795285 0.024993963    0.34   0.13      0.53
7  0.5880859 0.4653943 0.042374026    0.31   0.27      0.42
8  0.5645703 0.3763984 0.046083935    0.32   0.26      0.42
9  0.5421094 0.5486359 0.019889429    0.36   0.16      0.48
10 0.5924609 0.4594726 0.041355225    0.34   0.20      0.46
