   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.7605078 0.4526481 0.098803464    0.13   0.29      0.58
2  0.5754687 0.4172611 0.044691413    0.39   0.16      0.45
3  0.6626562 0.2880132 0.090763900    0.22   0.37      0.41
4  0.7538281 0.5887769 0.055693977    0.19   0.17      0.64
5  0.5962109 0.3623995 0.048761053    0.29   0.28      0.43
6  0.6569531 0.1069204 0.108437633    0.21   0.40      0.39
7  0.8076953 0.5519016 0.125668809    0.10   0.34      0.56
8  0.7692578 0.2433073 0.136069611    0.14   0.35      0.51
9  0.7214844 0.6019918 0.053599886    0.21   0.17      0.62
10 0.7180859 0.3004780 0.097874032    0.14   0.41      0.45
11 0.7350000 0.5463833 0.069086210    0.13   0.28      0.59
12 0.7945313 0.3858293 0.125605383    0.09   0.29      0.62
13 0.7433594 0.1454579 0.142173036    0.11   0.35      0.54
14 0.7476172 0.5826965 0.068524754    0.16   0.20      0.64
15 0.7182812 0.1103525 0.127450443    0.09   0.36      0.55
16 0.5679688 0.3493314 0.039538965    0.34   0.21      0.45
17 0.5848828 0.3316289 0.065503652    0.23   0.39      0.38
18 0.5422656 0.4713970 0.014913329    0.41   0.10      0.49
19 0.5305078 0.3068090 0.038583046    0.35   0.25      0.40
20 0.4325391 0.4138888 0.002948577    0.55   0.03      0.42
21 0.7932031 0.4594065 0.103490033    0.14   0.24      0.62
22 0.6514844 0.2901736 0.073404247    0.21   0.30      0.49
23 0.7321484 0.5511230 0.063190502    0.19   0.20      0.61
24 0.7170313 0.2738042 0.102643426    0.15   0.38      0.47
25 0.7847656 0.2605212 0.146437929    0.11   0.38      0.51
26 0.6681250 0.5280245 0.036401005    0.29   0.13      0.58
27 0.6171875 0.4353433 0.050450442    0.26   0.25      0.49
28 0.7583594 0.3335267 0.111945826    0.10   0.33      0.57
29 0.6451953 0.2295018 0.082370081    0.26   0.32      0.42
30 0.7105078 0.5253073 0.069312487    0.20   0.23      0.57
31 0.7020703 0.5930337 0.059999449    0.19   0.22      0.59
32 0.7900391 0.4714460 0.113432646    0.15   0.22      0.63
33 0.5819141 0.5036547 0.025269022    0.34   0.15      0.51
34 0.7819922 0.3788918 0.120861189    0.10   0.30      0.60
35 0.5303906 0.2782545 0.052043424    0.33   0.30      0.37
36 0.6867969 0.4490100 0.078862473    0.27   0.21      0.52
37 0.4882031 0.3029972 0.048328570    0.42   0.28      0.30
38 0.5935156 0.5178852 0.014163003    0.34   0.11      0.55
39 0.4818750 0.4485282 0.001779289    0.52   0.00      0.48
40 0.6229297 0.2262512 0.087526546    0.28   0.30      0.42
41 0.5633594 0.3460711 0.058935616    0.34   0.24      0.42
42 0.4502344 0.4392233 0.006929396    0.51   0.06      0.43
43 0.5871094 0.3650087 0.060020884    0.26   0.30      0.44
44 0.5517969 0.3288950 0.056637623    0.34   0.27      0.39
45 0.7149609 0.4720576 0.074650359    0.13   0.30      0.57
46 0.7864062 0.3774357 0.111567436    0.07   0.35      0.58
47 0.5072266 0.2509601 0.057036358    0.36   0.33      0.31
48 0.5082422 0.4631495 0.005940299    0.47   0.04      0.49
49 0.6673438 0.3277493 0.079690728    0.18   0.32      0.50
50 0.7652734 0.5888644 0.065112366    0.24   0.13      0.63
