   prop.aneu prob.meio  prob.mito euploid mosaic aneuploid
1  0.5462891 0.4539395 0.02251947    0.32   0.22      0.46
2  0.6659766 0.4497808 0.06021332    0.29   0.21      0.50
3  0.4611328 0.3164505 0.02340326    0.46   0.16      0.38
4  0.4889062 0.4407588 0.01669592    0.41   0.15      0.44
5  0.5982031 0.4101300 0.03221108    0.30   0.19      0.51
6  0.6039062 0.4517958 0.03857482    0.40   0.11      0.49
7  0.6688281 0.3834797 0.07021608    0.25   0.27      0.48
8  0.6053516 0.3487752 0.05272528    0.29   0.26      0.45
9  0.5661328 0.4182380 0.05096630    0.34   0.26      0.40
10 0.5626172 0.3301993 0.04419725    0.36   0.22      0.42
