   prop.aneu prob.meio   prob.mito euploid mosaic aneuploid
1  0.7694531 0.4706497 0.098776115    0.12   0.27      0.61
2  0.3400000 0.2485406 0.026272641    0.61   0.17      0.22
3  0.7778906 0.5705934 0.093039251    0.14   0.24      0.62
4  0.7021094 0.5862327 0.051667708    0.13   0.26      0.61
5  0.5951563 0.3883614 0.051659184    0.28   0.33      0.39
6  0.5182031 0.3957635 0.033575182    0.38   0.19      0.43
7  0.5629688 0.5428659 0.015195311    0.38   0.09      0.53
8  0.8110937 0.4755825 0.141797144    0.09   0.35      0.56
9  0.7860938 0.4651453 0.098244193    0.10   0.28      0.62
10 0.7412109 0.3345895 0.119079099    0.13   0.37      0.50
11 0.6946094 0.4125429 0.078307598    0.20   0.29      0.51
12 0.5815625 0.1722330 0.081097595    0.25   0.39      0.36
13 0.7873828 0.1518480 0.153737638    0.11   0.28      0.61
14 0.5372266 0.2791311 0.044586399    0.39   0.22      0.39
15 0.7255078 0.4031299 0.073503847    0.24   0.18      0.58
16 0.6028516 0.5635278 0.031462297    0.30   0.21      0.49
17 0.7528125 0.3984445 0.115029441    0.10   0.37      0.53
18 0.7411719 0.6307505 0.066222675    0.18   0.20      0.62
19 0.5825391 0.4396636 0.049691516    0.28   0.29      0.43
20 0.6435937 0.4581451 0.046245740    0.28   0.18      0.54
21 0.7357422 0.4454359 0.107147808    0.14   0.39      0.47
22 0.7314453 0.2006526 0.130931655    0.13   0.34      0.53
23 0.7175391 0.2458853 0.101413160    0.14   0.40      0.46
24 0.7204687 0.4414016 0.097753670    0.12   0.38      0.50
25 0.5020313 0.4225240 0.022757441    0.42   0.18      0.40
26 0.7176172 0.4694083 0.070974716    0.22   0.20      0.58
27 0.4894922 0.1231618 0.059835171    0.33   0.36      0.31
28 0.5533594 0.4906083 0.024031584    0.42   0.12      0.46
29 0.4546094 0.3656892 0.016555881    0.47   0.12      0.41
30 0.5915234 0.2435562 0.089716094    0.21   0.39      0.40
31 0.5676953 0.2771824 0.056774570    0.30   0.29      0.41
32 0.7956641 0.6611601 0.062047871    0.15   0.20      0.65
33 0.3325391 0.3280996 0.005548309    0.68   0.01      0.31
34 0.7252734 0.1229104 0.123115045    0.12   0.39      0.49
35 0.7473047 0.3919803 0.100708537    0.13   0.31      0.56
36 0.5132422 0.4772962 0.019612803    0.37   0.18      0.45
37 0.6682422 0.3063621 0.083928917    0.20   0.29      0.51
38 0.3372266 0.4007653 0.002088971    0.62   0.05      0.33
39 0.8093750 0.3558558 0.148728722    0.09   0.36      0.55
40 0.6923828 0.2215515 0.110641723    0.17   0.36      0.47
41 0.5393359 0.4233573 0.033599639    0.32   0.27      0.41
42 0.6116797 0.3750030 0.042597148    0.29   0.23      0.48
43 0.7008594 0.5435878 0.043993310    0.23   0.16      0.61
44 0.7049609 0.5241347 0.050173653    0.22   0.19      0.59
45 0.7934375 0.3245852 0.134045603    0.09   0.29      0.62
46 0.7207813 0.5445643 0.066481747    0.14   0.30      0.56
47 0.5691406 0.5908174 0.009603196    0.37   0.10      0.53
48 0.5142578 0.2886502 0.049990023    0.38   0.29      0.33
49 0.5274219 0.1821514 0.060451041    0.37   0.29      0.34
50 0.5917187 0.5597435 0.010619219    0.36   0.07      0.57
