"","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid","weights"
"1",0.415059537558569,0.0082848358288288,0,0.514,0.063,0.423,0.00213747753116102
"2",0.418040866160683,0.00522086014440058,0,0.514,0.063,0.423,0.00213747753116102
"3",0.4258709371501,0.00681139819616723,0,0.514,0.063,0.423,0.00213747753116102
"4",0.434790639494241,0.0061526417048044,0,0.514,0.064,0.422,0.00213747753116102
"5",0.399507436969444,0.0066604366228757,0,0.514,0.064,0.422,0.00213747753116102
"6",0.428083806961275,0.00622261917977117,0,0.514,0.062,0.424,0.00213747753116102
"7",0.404121094195992,0.00859361642689368,0,0.514,0.064,0.422,0.00213747753116102
"8",0.402116670154243,0.0071415223493331,0,0.514,0.062,0.424,0.00213747753116102
"9",0.438027704151582,0.00710355050105915,0,0.514,0.062,0.424,0.00213747753116102
"10",0.421247864284268,0.00945055417822482,0,0.514,0.062,0.424,0.00213747753116102
"11",0.426015359319076,0.00721923997549025,0,0.514,0.064,0.422,0.00213747753116102
"12",0.422139968380426,0.00643673617407616,0,0.514,0.064,0.422,0.00213747753116102
"13",0.428288994996563,0.00783651274557452,0,0.514,0.064,0.422,0.00213747753116102
"14",0.420145151946521,0.0078294476330093,0,0.514,0.064,0.422,0.00213747753116102
"15",0.425643695609383,0.00595168026505005,0,0.514,0.062,0.424,0.00213747753116102
"16",0.391412224379685,0.00694537918758229,0,0.514,0.062,0.424,0.00213747753116102
"17",0.415173242241808,0.0096732161379746,0,0.514,0.062,0.424,0.00213747753116102
"18",0.391291502984179,0.0071564673129997,0,0.514,0.064,0.422,0.00213747753116102
"19",0.407017608981406,0.00870015054270417,0,0.514,0.064,0.422,0.00213747753116102
"20",0.435056138027938,0.00858581421023506,0,0.513,0.063,0.424,0.00213747753116102
"21",0.404642552539337,0.00568297223227962,0,0.513,0.063,0.424,0.00213747753116102
"22",0.399361980473853,0.00732199637784924,0,0.513,0.063,0.424,0.00213747753116102
"23",0.416332034221133,0.00743899257243516,0,0.513,0.063,0.424,0.00213747753116102
"24",0.426647510164179,0.00662889549851156,0,0.513,0.063,0.424,0.00213747753116102
"25",0.413491438201571,0.00809428967420928,0,0.513,0.063,0.424,0.00213747753116102
"26",0.4230780279438,0.00751015693143619,0,0.515,0.063,0.422,0.00213747753116102
"27",0.419240495712204,0.00618770809933463,0,0.515,0.063,0.422,0.00213747753116102
"28",0.418092383755514,0.00745691988474764,0,0.513,0.063,0.424,0.00213747753116102
"29",0.412631508545415,0.00712475030326089,0,0.515,0.063,0.422,0.00213747753116102
"30",0.414562377028502,0.00793461632634212,0,0.513,0.063,0.424,0.00213747753116102
"31",0.421171957065334,0.00895305650116353,0,0.515,0.063,0.422,0.00213747753116102
"32",0.425185881146066,0.00641372821429204,0,0.513,0.063,0.424,0.00213747753116102
"33",0.414181762000535,0.00920276856039656,0,0.513,0.063,0.424,0.00213747753116102
"34",0.401204595997206,0.00742340941288782,0,0.513,0.063,0.424,0.00213747753116102
"35",0.410159517788024,0.00831371674530641,0,0.515,0.062,0.423,0.00213747753116102
"36",0.423393565237523,0.00676461943454795,0,0.513,0.064,0.423,0.00213747753116102
"37",0.414797693250831,0.00896534004930846,0,0.515,0.062,0.423,0.00213747753116102
"38",0.403674344714452,0.00809587101541294,0,0.513,0.064,0.423,0.00213747753116102
"39",0.44361463213335,0.00724263610145193,0,0.515,0.062,0.423,0.00213747753116102
"40",0.431803349447088,0.00896703578868497,0,0.513,0.064,0.423,0.00213747753116102
"41",0.430937715845342,0.00697091997430285,0,0.513,0.064,0.423,0.00213747753116102
"42",0.40638619800144,0.00844617683388695,0,0.515,0.062,0.423,0.00213747753116102
"43",0.443487647491317,0.00842039752495748,0,0.515,0.062,0.423,0.00213747753116102
