   prop.aneu prob.meio   prob.mito  dispersal euploid mosaic aneuploid
1  0.3728125 0.2501970 0.015549708 0.90317676    0.39   0.34      0.27
2  0.5134375 0.3938695 0.041936025 0.03305930    0.29   0.35      0.36
3  0.5176172 0.4558133 0.007666917 0.00657439    0.47   0.04      0.49
4  0.4412891 0.3434829 0.009623217 0.69977586    0.35   0.26      0.39
5  0.4433984 0.3709413 0.007366040 0.08832599    0.51   0.08      0.41
6  0.5015234 0.2935467 0.025899174 0.23109470    0.27   0.34      0.39
7  0.4746875 0.3956054 0.009757965 0.25204043    0.49   0.07      0.44
8  0.6349219 0.6496976 0.002846492 0.32059736    0.35   0.03      0.62
9  0.6151172 0.6076618 0.012694162 0.33273709    0.30   0.14      0.56
10 0.4210937 0.3856759 0.018223343 0.93842339    0.30   0.38      0.32
