dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
1,Aneuploid,Aneuploid,Fully Aneuploid,5,5,28885
1,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,46
1,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,14
1,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,5
1,Aneuploid,Euploid,Mosaic Aneuploid,4,0,3
1,Aneuploid,Euploid,Mosaic Aneuploid,4,1,28
1,Aneuploid,Euploid,Mosaic Aneuploid,5,1,1
1,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,53
1,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,46
1,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,9
1,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,14
1,Euploid,Aneuploid,Mosaic Aneuploid,0,4,3
1,Euploid,Aneuploid,Mosaic Aneuploid,1,4,24
1,Euploid,Aneuploid,Mosaic Aneuploid,1,5,5
1,Euploid,Euploid,Euploid,0,0,5
1,Euploid,Euploid,Mosaic Aneuploid,0,0,7729
1,Euploid,Euploid,Mosaic Aneuploid,0,1,3527
1,Euploid,Euploid,Mosaic Aneuploid,1,0,3464
1,Euploid,Euploid,Mosaic Aneuploid,1,1,2932
1,Euploid,Mosaic,Mosaic Aneuploid,0,2,344
1,Euploid,Mosaic,Mosaic Aneuploid,0,3,9
1,Euploid,Mosaic,Mosaic Aneuploid,1,2,677
1,Euploid,Mosaic,Mosaic Aneuploid,1,3,104
1,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,47
1,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,10
1,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,58
1,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,13
1,Mosaic,Euploid,Mosaic Aneuploid,2,0,345
1,Mosaic,Euploid,Mosaic Aneuploid,2,1,679
1,Mosaic,Euploid,Mosaic Aneuploid,3,0,19
1,Mosaic,Euploid,Mosaic Aneuploid,3,1,102
1,Mosaic,Mosaic,Mosaic Aneuploid,2,2,398
1,Mosaic,Mosaic,Mosaic Aneuploid,2,3,127
1,Mosaic,Mosaic,Mosaic Aneuploid,3,2,154
1,Mosaic,Mosaic,Mosaic Aneuploid,3,3,121
