dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
0,Aneuploid,Aneuploid,Fully Aneuploid,5,5,19661
0,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,723
0,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,866
0,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,868
0,Aneuploid,Aneuploid,Mosaic Aneuploid,5,5,1159
0,Aneuploid,Euploid,Mosaic Aneuploid,4,0,1476
0,Aneuploid,Euploid,Mosaic Aneuploid,4,1,431
0,Aneuploid,Euploid,Mosaic Aneuploid,5,0,1315
0,Aneuploid,Euploid,Mosaic Aneuploid,5,1,419
0,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,454
0,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,560
0,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,488
0,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,596
0,Euploid,Aneuploid,Mosaic Aneuploid,0,4,1394
0,Euploid,Aneuploid,Mosaic Aneuploid,0,5,1302
0,Euploid,Aneuploid,Mosaic Aneuploid,1,4,402
0,Euploid,Aneuploid,Mosaic Aneuploid,1,5,443
0,Euploid,Euploid,Mosaic Aneuploid,0,0,5448
0,Euploid,Euploid,Mosaic Aneuploid,0,1,1147
0,Euploid,Euploid,Mosaic Aneuploid,1,0,1130
0,Euploid,Euploid,Mosaic Aneuploid,1,1,292
0,Euploid,Mosaic,Mosaic Aneuploid,0,2,1097
0,Euploid,Mosaic,Mosaic Aneuploid,0,3,1223
0,Euploid,Mosaic,Mosaic Aneuploid,1,2,292
0,Euploid,Mosaic,Mosaic Aneuploid,1,3,336
0,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,409
0,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,492
0,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,536
0,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,616
0,Mosaic,Euploid,Mosaic Aneuploid,2,0,1162
0,Mosaic,Euploid,Mosaic Aneuploid,2,1,302
0,Mosaic,Euploid,Mosaic Aneuploid,3,0,1204
0,Mosaic,Euploid,Mosaic Aneuploid,3,1,316
0,Mosaic,Mosaic,Mosaic Aneuploid,2,2,282
0,Mosaic,Mosaic,Mosaic Aneuploid,2,3,357
0,Mosaic,Mosaic,Mosaic Aneuploid,3,2,345
0,Mosaic,Mosaic,Mosaic Aneuploid,3,3,457
