dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
0,Aneuploid,Aneuploid,Fully Aneuploid,5,5,19872
0,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,731
0,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,823
0,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,858
0,Aneuploid,Aneuploid,Mosaic Aneuploid,5,5,1048
0,Aneuploid,Euploid,Mosaic Aneuploid,4,0,1495
0,Aneuploid,Euploid,Mosaic Aneuploid,4,1,394
0,Aneuploid,Euploid,Mosaic Aneuploid,5,0,1349
0,Aneuploid,Euploid,Mosaic Aneuploid,5,1,454
0,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,429
0,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,518
0,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,452
0,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,564
0,Euploid,Aneuploid,Mosaic Aneuploid,0,4,1437
0,Euploid,Aneuploid,Mosaic Aneuploid,0,5,1383
0,Euploid,Aneuploid,Mosaic Aneuploid,1,4,455
0,Euploid,Aneuploid,Mosaic Aneuploid,1,5,432
0,Euploid,Euploid,Mosaic Aneuploid,0,0,5537
0,Euploid,Euploid,Mosaic Aneuploid,0,1,1129
0,Euploid,Euploid,Mosaic Aneuploid,1,0,1183
0,Euploid,Euploid,Mosaic Aneuploid,1,1,293
0,Euploid,Mosaic,Mosaic Aneuploid,0,2,1069
0,Euploid,Mosaic,Mosaic Aneuploid,0,3,1188
0,Euploid,Mosaic,Mosaic Aneuploid,1,2,272
0,Euploid,Mosaic,Mosaic Aneuploid,1,3,328
0,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,451
0,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,429
0,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,503
0,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,549
0,Mosaic,Euploid,Mosaic Aneuploid,2,0,1131
0,Mosaic,Euploid,Mosaic Aneuploid,2,1,292
0,Mosaic,Euploid,Mosaic Aneuploid,3,0,1200
0,Mosaic,Euploid,Mosaic Aneuploid,3,1,317
0,Mosaic,Mosaic,Mosaic Aneuploid,2,2,263
0,Mosaic,Mosaic,Mosaic Aneuploid,2,3,363
0,Mosaic,Mosaic,Mosaic Aneuploid,3,2,353
0,Mosaic,Mosaic,Mosaic Aneuploid,3,3,456
