dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
0.5,Aneuploid,Aneuploid,Fully Aneuploid,5,5,28659
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,54
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,14
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,15
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,5,5,9
0.5,Aneuploid,Euploid,Mosaic Aneuploid,4,0,38
0.5,Aneuploid,Euploid,Mosaic Aneuploid,4,1,59
0.5,Aneuploid,Euploid,Mosaic Aneuploid,5,0,1
0.5,Aneuploid,Euploid,Mosaic Aneuploid,5,1,9
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,78
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,84
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,10
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,23
0.5,Euploid,Aneuploid,Mosaic Aneuploid,0,4,37
0.5,Euploid,Aneuploid,Mosaic Aneuploid,0,5,2
0.5,Euploid,Aneuploid,Mosaic Aneuploid,1,4,58
0.5,Euploid,Aneuploid,Mosaic Aneuploid,1,5,4
0.5,Euploid,Euploid,Mosaic Aneuploid,0,0,7566
0.5,Euploid,Euploid,Mosaic Aneuploid,0,1,2527
0.5,Euploid,Euploid,Mosaic Aneuploid,1,0,2600
0.5,Euploid,Euploid,Mosaic Aneuploid,1,1,1478
0.5,Euploid,Mosaic,Mosaic Aneuploid,0,2,1148
0.5,Euploid,Mosaic,Mosaic Aneuploid,0,3,306
0.5,Euploid,Mosaic,Mosaic Aneuploid,1,2,848
0.5,Euploid,Mosaic,Mosaic Aneuploid,1,3,302
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,88
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,22
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,69
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,20
0.5,Mosaic,Euploid,Mosaic Aneuploid,2,0,1168
0.5,Mosaic,Euploid,Mosaic Aneuploid,2,1,842
0.5,Mosaic,Euploid,Mosaic Aneuploid,3,0,265
0.5,Mosaic,Euploid,Mosaic Aneuploid,3,1,298
0.5,Mosaic,Mosaic,Mosaic Aneuploid,2,2,601
0.5,Mosaic,Mosaic,Mosaic Aneuploid,2,3,247
0.5,Mosaic,Mosaic,Mosaic Aneuploid,3,2,278
0.5,Mosaic,Mosaic,Mosaic Aneuploid,3,3,173
