dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
1,Aneuploid,Aneuploid,Fully Aneuploid,5,5,28728
1,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,33
1,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,10
1,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,6
1,Aneuploid,Aneuploid,Mosaic Aneuploid,5,5,5
1,Aneuploid,Euploid,Mosaic Aneuploid,4,0,5
1,Aneuploid,Euploid,Mosaic Aneuploid,4,1,25
1,Aneuploid,Euploid,Mosaic Aneuploid,5,0,1
1,Aneuploid,Euploid,Mosaic Aneuploid,5,1,5
1,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,42
1,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,58
1,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,7
1,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,7
1,Euploid,Aneuploid,Mosaic Aneuploid,0,4,3
1,Euploid,Aneuploid,Mosaic Aneuploid,0,5,1
1,Euploid,Aneuploid,Mosaic Aneuploid,1,4,22
1,Euploid,Aneuploid,Mosaic Aneuploid,1,5,5
1,Euploid,Euploid,Euploid,0,0,8
1,Euploid,Euploid,Mosaic Aneuploid,0,0,7928
1,Euploid,Euploid,Mosaic Aneuploid,0,1,3526
1,Euploid,Euploid,Mosaic Aneuploid,1,0,3475
1,Euploid,Euploid,Mosaic Aneuploid,1,1,3016
1,Euploid,Mosaic,Mosaic Aneuploid,0,2,370
1,Euploid,Mosaic,Mosaic Aneuploid,0,3,14
1,Euploid,Mosaic,Mosaic Aneuploid,1,2,685
1,Euploid,Mosaic,Mosaic Aneuploid,1,3,92
1,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,53
1,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,8
1,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,40
1,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,11
1,Mosaic,Euploid,Mosaic Aneuploid,2,0,328
1,Mosaic,Euploid,Mosaic Aneuploid,2,1,662
1,Mosaic,Euploid,Mosaic Aneuploid,3,0,11
1,Mosaic,Euploid,Mosaic Aneuploid,3,1,88
1,Mosaic,Mosaic,Mosaic Aneuploid,2,2,370
1,Mosaic,Mosaic,Mosaic Aneuploid,2,3,120
1,Mosaic,Mosaic,Mosaic Aneuploid,3,2,136
1,Mosaic,Mosaic,Mosaic Aneuploid,3,3,96
