dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
0.5,Aneuploid,Aneuploid,Fully Aneuploid,5,5,28488
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,49
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,14
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,21
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,5,5,5
0.5,Aneuploid,Euploid,Mosaic Aneuploid,4,0,43
0.5,Aneuploid,Euploid,Mosaic Aneuploid,4,1,66
0.5,Aneuploid,Euploid,Mosaic Aneuploid,5,1,7
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,102
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,66
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,14
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,27
0.5,Euploid,Aneuploid,Mosaic Aneuploid,0,4,38
0.5,Euploid,Aneuploid,Mosaic Aneuploid,0,5,1
0.5,Euploid,Aneuploid,Mosaic Aneuploid,1,4,46
0.5,Euploid,Aneuploid,Mosaic Aneuploid,1,5,7
0.5,Euploid,Euploid,Mosaic Aneuploid,0,0,7459
0.5,Euploid,Euploid,Mosaic Aneuploid,0,1,2640
0.5,Euploid,Euploid,Mosaic Aneuploid,1,0,2694
0.5,Euploid,Euploid,Mosaic Aneuploid,1,1,1533
0.5,Euploid,Mosaic,Mosaic Aneuploid,0,2,1153
0.5,Euploid,Mosaic,Mosaic Aneuploid,0,3,272
0.5,Euploid,Mosaic,Mosaic Aneuploid,1,2,843
0.5,Euploid,Mosaic,Mosaic Aneuploid,1,3,294
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,100
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,10
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,102
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,20
0.5,Mosaic,Euploid,Mosaic Aneuploid,2,0,1079
0.5,Mosaic,Euploid,Mosaic Aneuploid,2,1,847
0.5,Mosaic,Euploid,Mosaic Aneuploid,3,0,275
0.5,Mosaic,Euploid,Mosaic Aneuploid,3,1,301
0.5,Mosaic,Mosaic,Mosaic Aneuploid,2,2,625
0.5,Mosaic,Mosaic,Mosaic Aneuploid,2,3,267
0.5,Mosaic,Mosaic,Mosaic Aneuploid,3,2,284
0.5,Mosaic,Mosaic,Mosaic Aneuploid,3,3,208
