dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
0.5,Aneuploid,Aneuploid,Fully Aneuploid,5,5,28846
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,56
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,16
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,12
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,5,5,9
0.5,Aneuploid,Euploid,Mosaic Aneuploid,4,0,40
0.5,Aneuploid,Euploid,Mosaic Aneuploid,4,1,50
0.5,Aneuploid,Euploid,Mosaic Aneuploid,5,0,1
0.5,Aneuploid,Euploid,Mosaic Aneuploid,5,1,4
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,84
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,89
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,13
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,12
0.5,Euploid,Aneuploid,Mosaic Aneuploid,0,4,31
0.5,Euploid,Aneuploid,Mosaic Aneuploid,0,5,1
0.5,Euploid,Aneuploid,Mosaic Aneuploid,1,4,42
0.5,Euploid,Aneuploid,Mosaic Aneuploid,1,5,5
0.5,Euploid,Euploid,Mosaic Aneuploid,0,0,7535
0.5,Euploid,Euploid,Mosaic Aneuploid,0,1,2643
0.5,Euploid,Euploid,Mosaic Aneuploid,1,0,2596
0.5,Euploid,Euploid,Mosaic Aneuploid,1,1,1436
0.5,Euploid,Mosaic,Mosaic Aneuploid,0,2,1153
0.5,Euploid,Mosaic,Mosaic Aneuploid,0,3,255
0.5,Euploid,Mosaic,Mosaic Aneuploid,1,2,820
0.5,Euploid,Mosaic,Mosaic Aneuploid,1,3,278
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,77
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,11
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,90
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,15
0.5,Mosaic,Euploid,Mosaic Aneuploid,2,0,1155
0.5,Mosaic,Euploid,Mosaic Aneuploid,2,1,745
0.5,Mosaic,Euploid,Mosaic Aneuploid,3,0,250
0.5,Mosaic,Euploid,Mosaic Aneuploid,3,1,309
0.5,Mosaic,Mosaic,Mosaic Aneuploid,2,2,578
0.5,Mosaic,Mosaic,Mosaic Aneuploid,2,3,283
0.5,Mosaic,Mosaic,Mosaic Aneuploid,3,2,267
0.5,Mosaic,Mosaic,Mosaic Aneuploid,3,3,193
