dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
0.5,Aneuploid,Aneuploid,Fully Aneuploid,5,5,28849
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,57
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,14
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,11
0.5,Aneuploid,Aneuploid,Mosaic Aneuploid,5,5,7
0.5,Aneuploid,Euploid,Mosaic Aneuploid,4,0,32
0.5,Aneuploid,Euploid,Mosaic Aneuploid,4,1,60
0.5,Aneuploid,Euploid,Mosaic Aneuploid,5,0,2
0.5,Aneuploid,Euploid,Mosaic Aneuploid,5,1,11
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,72
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,99
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,14
0.5,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,16
0.5,Euploid,Aneuploid,Mosaic Aneuploid,0,4,30
0.5,Euploid,Aneuploid,Mosaic Aneuploid,0,5,3
0.5,Euploid,Aneuploid,Mosaic Aneuploid,1,4,55
0.5,Euploid,Aneuploid,Mosaic Aneuploid,1,5,9
0.5,Euploid,Euploid,Mosaic Aneuploid,0,0,7378
0.5,Euploid,Euploid,Mosaic Aneuploid,0,1,2609
0.5,Euploid,Euploid,Mosaic Aneuploid,1,0,2603
0.5,Euploid,Euploid,Mosaic Aneuploid,1,1,1500
0.5,Euploid,Mosaic,Mosaic Aneuploid,0,2,1139
0.5,Euploid,Mosaic,Mosaic Aneuploid,0,3,289
0.5,Euploid,Mosaic,Mosaic Aneuploid,1,2,837
0.5,Euploid,Mosaic,Mosaic Aneuploid,1,3,281
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,93
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,15
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,86
0.5,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,21
0.5,Mosaic,Euploid,Mosaic Aneuploid,2,0,1086
0.5,Mosaic,Euploid,Mosaic Aneuploid,2,1,841
0.5,Mosaic,Euploid,Mosaic Aneuploid,3,0,236
0.5,Mosaic,Euploid,Mosaic Aneuploid,3,1,281
0.5,Mosaic,Mosaic,Mosaic Aneuploid,2,2,641
0.5,Mosaic,Mosaic,Mosaic Aneuploid,2,3,252
0.5,Mosaic,Mosaic,Mosaic Aneuploid,3,2,298
0.5,Mosaic,Mosaic,Mosaic Aneuploid,3,3,173
