dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
0,Aneuploid,Aneuploid,Fully Aneuploid,5,5,19471
0,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,770
0,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,891
0,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,845
0,Aneuploid,Aneuploid,Mosaic Aneuploid,5,5,1103
0,Aneuploid,Euploid,Mosaic Aneuploid,4,0,1529
0,Aneuploid,Euploid,Mosaic Aneuploid,4,1,422
0,Aneuploid,Euploid,Mosaic Aneuploid,5,0,1359
0,Aneuploid,Euploid,Mosaic Aneuploid,5,1,428
0,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,425
0,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,535
0,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,500
0,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,575
0,Euploid,Aneuploid,Mosaic Aneuploid,0,4,1430
0,Euploid,Aneuploid,Mosaic Aneuploid,0,5,1367
0,Euploid,Aneuploid,Mosaic Aneuploid,1,4,442
0,Euploid,Aneuploid,Mosaic Aneuploid,1,5,466
0,Euploid,Euploid,Mosaic Aneuploid,0,0,5381
0,Euploid,Euploid,Mosaic Aneuploid,0,1,1172
0,Euploid,Euploid,Mosaic Aneuploid,1,0,1067
0,Euploid,Euploid,Mosaic Aneuploid,1,1,314
0,Euploid,Mosaic,Mosaic Aneuploid,0,2,1110
0,Euploid,Mosaic,Mosaic Aneuploid,0,3,1267
0,Euploid,Mosaic,Mosaic Aneuploid,1,2,274
0,Euploid,Mosaic,Mosaic Aneuploid,1,3,366
0,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,451
0,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,502
0,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,579
0,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,619
0,Mosaic,Euploid,Mosaic Aneuploid,2,0,1071
0,Mosaic,Euploid,Mosaic Aneuploid,2,1,292
0,Mosaic,Euploid,Mosaic Aneuploid,3,0,1232
0,Mosaic,Euploid,Mosaic Aneuploid,3,1,367
0,Mosaic,Mosaic,Mosaic Aneuploid,2,2,303
0,Mosaic,Mosaic,Mosaic Aneuploid,2,3,343
0,Mosaic,Mosaic,Mosaic Aneuploid,3,2,331
0,Mosaic,Mosaic,Mosaic Aneuploid,3,3,401
