dispersal,first_biopsy_type,second_biopsy_type,embryo_type,first_biopsy_cell,second_biopsy_cell,count
1,Aneuploid,Aneuploid,Fully Aneuploid,5,5,28849
1,Aneuploid,Aneuploid,Mosaic Aneuploid,4,4,36
1,Aneuploid,Aneuploid,Mosaic Aneuploid,4,5,4
1,Aneuploid,Aneuploid,Mosaic Aneuploid,5,4,3
1,Aneuploid,Aneuploid,Mosaic Aneuploid,5,5,3
1,Aneuploid,Euploid,Mosaic Aneuploid,4,0,2
1,Aneuploid,Euploid,Mosaic Aneuploid,4,1,20
1,Aneuploid,Euploid,Mosaic Aneuploid,5,0,2
1,Aneuploid,Euploid,Mosaic Aneuploid,5,1,2
1,Aneuploid,Mosaic,Mosaic Aneuploid,4,2,45
1,Aneuploid,Mosaic,Mosaic Aneuploid,4,3,40
1,Aneuploid,Mosaic,Mosaic Aneuploid,5,2,6
1,Aneuploid,Mosaic,Mosaic Aneuploid,5,3,14
1,Euploid,Aneuploid,Mosaic Aneuploid,0,4,9
1,Euploid,Aneuploid,Mosaic Aneuploid,1,4,18
1,Euploid,Aneuploid,Mosaic Aneuploid,1,5,3
1,Euploid,Euploid,Euploid,0,0,11
1,Euploid,Euploid,Mosaic Aneuploid,0,0,7872
1,Euploid,Euploid,Mosaic Aneuploid,0,1,3468
1,Euploid,Euploid,Mosaic Aneuploid,1,0,3471
1,Euploid,Euploid,Mosaic Aneuploid,1,1,2959
1,Euploid,Mosaic,Mosaic Aneuploid,0,2,361
1,Euploid,Mosaic,Mosaic Aneuploid,0,3,13
1,Euploid,Mosaic,Mosaic Aneuploid,1,2,741
1,Euploid,Mosaic,Mosaic Aneuploid,1,3,93
1,Mosaic,Aneuploid,Mosaic Aneuploid,2,4,44
1,Mosaic,Aneuploid,Mosaic Aneuploid,2,5,5
1,Mosaic,Aneuploid,Mosaic Aneuploid,3,4,56
1,Mosaic,Aneuploid,Mosaic Aneuploid,3,5,7
1,Mosaic,Euploid,Mosaic Aneuploid,2,0,315
1,Mosaic,Euploid,Mosaic Aneuploid,2,1,667
1,Mosaic,Euploid,Mosaic Aneuploid,3,0,17
1,Mosaic,Euploid,Mosaic Aneuploid,3,1,99
1,Mosaic,Mosaic,Mosaic Aneuploid,2,2,373
1,Mosaic,Mosaic,Mosaic Aneuploid,2,3,143
1,Mosaic,Mosaic,Mosaic Aneuploid,3,2,119
1,Mosaic,Mosaic,Mosaic Aneuploid,3,3,110
