      prop.aneu   prob.meio    prob.mito    dispersal euploid mosaic aneuploid
80   0.92597656 0.214695702 0.2511031597 0.7407433023    0.00   0.28      0.72
81   1.00000000 0.923582436 0.9182745907 0.0812112300    0.00   0.00      1.00
82   1.00000000 0.649431024 0.7860327451 0.1774523468    0.00   0.00      1.00
83   1.00000000 0.998468517 0.9643903200 0.7956138097    0.00   0.00      1.00
84   0.99996094 0.357190417 0.6806667652 0.7248288365    0.00   0.00      1.00
85   0.99777344 0.883907016 0.4080855933 0.7162541647    0.00   0.01      0.99
86   1.00000000 0.742748717 0.9472457625 0.2344688347    0.00   0.00      1.00
87   1.00000000 0.574708647 0.9654428689 0.9589514027    0.00   0.00      1.00
88   0.99824219 0.384947961 0.5359193920 0.3878711443    0.00   0.01      0.99
89   0.99800781 0.158852436 0.5137217769 0.8817405766    0.00   0.00      1.00
90   0.99996094 0.186171335 0.6867936752 0.4890373510    0.00   0.00      1.00
91   1.00000000 0.216156682 0.8282655289 0.8302924146    0.00   0.00      1.00
92   0.99843750 0.872400249 0.4276879674 0.3054247282    0.00   0.00      1.00
93   1.00000000 0.791180165 0.5785466328 0.6167049489    0.00   0.00      1.00
94   1.00000000 0.090017936 0.9423479999 0.4329093175    0.00   0.00      1.00
95   0.87816406 0.127164186 0.2093895490 0.2603354151    0.00   0.43      0.57
96   0.99917969 0.801138034 0.3781946772 0.5763188445    0.00   0.00      1.00
97   0.99621094 0.264431196 0.4651213454 0.5784528253    0.00   0.01      0.99
98   0.99960938 0.350356605 0.6200675706 0.3473034308    0.00   0.00      1.00
99   0.99378906 0.147084045 0.4646827129 0.7568170452    0.00   0.04      0.96
100  0.99988281 0.700489461 0.7214394016 0.5246363401    0.00   0.00      1.00
101  0.45093750 0.041596863 0.0635632195 0.1289034719    0.22   0.69      0.09
102  1.00000000 0.709741953 0.9065264128 0.9189316516    0.00   0.00      1.00
103  0.99992187 0.056281678 0.7135860191 0.2657423378    0.00   0.00      1.00
104  0.67433594 0.169591347 0.1057772757 0.8795167929    0.01   0.64      0.35
105  0.99929687 0.597142746 0.5493353163 0.8776326410    0.00   0.01      0.99
106  0.99992187 0.113194343 0.6886474027 0.3534685222    0.00   0.00      1.00
107  0.99808594 0.123805926 0.5254599249 0.6225004338    0.00   0.04      0.96
108  0.99992187 0.039068848 0.7366676875 0.8992868182    0.00   0.00      1.00
109  0.99988281 0.837811453 0.6002942903 0.9580773481    0.00   0.00      1.00
110  0.79582031 0.257387049 0.1467120547 0.3531439048    0.00   0.54      0.46
111  1.00000000 0.841590560 0.9463374792 0.4317029801    0.00   0.00      1.00
112  1.00000000 0.164442761 0.8779404042 0.4984599066    0.00   0.00      1.00
113  0.99996094 0.464767729 0.6958523844 0.2431866769    0.00   0.00      1.00
114  1.00000000 0.704120164 0.8357620423 0.9602910436    0.00   0.00      1.00
115  0.97496094 0.035982418 0.3587173936 0.9735068369    0.00   0.15      0.85
116  0.99523438 0.242204801 0.4561312054 0.2440814176    0.00   0.02      0.98
117  0.99949219 0.880584517 0.4900539345 0.4783074476    0.00   0.00      1.00
118  0.90269531 0.002757807 0.2587317911 0.6660431917    0.00   0.35      0.65
119  1.00000000 0.392158816 0.6726975581 0.4418657615    0.00   0.00      1.00
120  0.99187500 0.618379724 0.4036141867 0.7240158003    0.00   0.02      0.98
121  0.99953125 0.088387192 0.5867358616 0.5783393686    0.00   0.01      0.99
122  0.97796875 0.152726600 0.3513368771 0.8393722964    0.00   0.11      0.89
123  0.99558594 0.219908165 0.4763936305 0.3408513113    0.00   0.03      0.97
124  0.99945313 0.299251906 0.5784017926 0.0001647694    0.00   0.00      1.00
125  0.99242188 0.530109724 0.4090996184 0.9754219383    0.00   0.04      0.96
126  1.00000000 0.230247739 0.8947046136 0.0900553805    0.00   0.00      1.00
127  1.00000000 0.541576469 0.6854996600 0.0289391573    0.00   0.00      1.00
128  1.00000000 0.338398088 0.8351107391 0.4548751509    0.00   0.00      1.00
129  1.00000000 0.742829995 0.7061047936 0.4102075743    0.00   0.00      1.00
130  0.99617188 0.620249774 0.4432184538 0.0796749971    0.00   0.02      0.98
131  0.99535156 0.887398635 0.3013719416 0.8766370248    0.00   0.01      0.99
132  1.00000000 0.051765148 0.9267609366 0.3911204608    0.00   0.00      1.00
133  0.21410156 0.097584029 0.0124650188 0.2471333689    0.65   0.22      0.13
134  0.85093750 0.276673191 0.1883613041 0.7300648058    0.00   0.46      0.54
135  0.85183594 0.758601059 0.0868281829 0.7026860092    0.00   0.29      0.71
136  1.00000000 0.584287914 0.8316684011 0.2128715720    0.00   0.00      1.00
137  1.00000000 0.743464550 0.7550130927 0.2436830655    0.00   0.00      1.00
138  0.95621094 0.754968934 0.2040207367 0.6854277747    0.00   0.11      0.89
139  1.00000000 0.148246096 0.9756594878 0.0901122042    0.00   0.00      1.00
140  0.99992187 0.410418234 0.7108772744 0.7273088628    0.00   0.00      1.00
