      prop.aneu    prob.meio   prob.mito    dispersal euploid mosaic aneuploid
80   0.90507812 0.0461243086 0.250106235 0.5742149597    0.00   0.38      0.62
81   0.99972656 0.0692358466 0.573367073 0.0305962579    0.00   0.00      1.00
82   1.00000000 0.7211580030 0.745925945 0.2530067286    0.00   0.00      1.00
83   1.00000000 0.8749071681 0.906624161 0.6764527049    0.00   0.00      1.00
84   0.71175781 0.4188813521 0.074241388 0.9033805698    0.02   0.49      0.49
85   0.99074219 0.4753830631 0.381372329 0.7108481294    0.00   0.07      0.93
86   1.00000000 0.9077026292 0.697020422 0.5665824406    0.00   0.00      1.00
87   1.00000000 0.0137422339 0.733369366 0.2778528789    0.00   0.00      1.00
88   0.99984375 0.9568535248 0.376922185 0.8438114184    0.00   0.00      1.00
89   0.30394531 0.2290513541 0.010097868 0.2939656805    0.61   0.15      0.24
90   0.78277344 0.7203648116 0.035069730 0.2863087929    0.07   0.22      0.71
91   1.00000000 0.7010394451 0.718267378 0.7867060746    0.00   0.00      1.00
92   0.99996094 0.6673004231 0.619276096 0.4013453454    0.00   0.00      1.00
93   1.00000000 0.9868886152 0.557870612 0.9435904990    0.00   0.00      1.00
94   1.00000000 0.4836161442 0.871863326 0.9296875254    0.00   0.00      1.00
95   1.00000000 0.9908799978 0.267425988 0.3214533369    0.00   0.00      1.00
96   1.00000000 0.6521553155 0.747212038 0.7646343948    0.00   0.00      1.00
97   1.00000000 0.2177970051 0.854893323 0.6531123251    0.00   0.00      1.00
98   0.93312500 0.8324617026 0.107283705 0.2904308033    0.03   0.12      0.85
99   1.00000000 0.8315413438 0.802844112 0.5431187130    0.00   0.00      1.00
100  1.00000000 0.9364874659 0.591361967 0.0088379197    0.00   0.00      1.00
101  0.99992187 0.5852481385 0.687657591 0.6339051826    0.00   0.00      1.00
102  0.67769531 0.0435988770 0.120859697 0.8682241587    0.01   0.77      0.22
103  0.99421875 0.9864981545 0.124297026 0.0429110238    0.00   0.01      0.99
104  0.99441406 0.6298431866 0.402595508 0.2585791820    0.00   0.02      0.98
105  1.00000000 0.3711377403 0.659437760 0.4933895767    0.00   0.00      1.00
106  1.00000000 0.8221661928 0.769564425 0.0555590885    0.00   0.00      1.00
107  1.00000000 0.9170976372 0.676798540 0.8665800183    0.00   0.00      1.00
108  0.91042969 0.4034104471 0.198669590 0.8572152634    0.00   0.34      0.66
109  0.33046875 0.3414190379 0.005868743 0.6442745782    0.59   0.11      0.30
110  0.94640625 0.3402650016 0.282849477 0.3245320143    0.00   0.23      0.77
111  0.99281250 0.7874594056 0.335957860 0.8058066750    0.00   0.03      0.97
112  1.00000000 0.6938729908 0.897944116 0.4615222579    0.00   0.00      1.00
113  0.99988281 0.7274986159 0.555097692 0.2176265118    0.00   0.00      1.00
114  0.89011719 0.4153680734 0.185556880 0.9443829453    0.00   0.37      0.63
115  1.00000000 0.6405020445 0.799926960 0.3988770479    0.00   0.00      1.00
116  1.00000000 0.0330276825 0.771954322 0.3847230948    0.00   0.00      1.00
117  0.99527344 0.0356805089 0.462101948 0.9056951443    0.00   0.02      0.98
118  0.99960938 0.8420009261 0.582576325 0.4025101985    0.00   0.01      0.99
119  1.00000000 0.0498926577 0.761387242 0.7548237708    0.00   0.00      1.00
120  0.99976562 0.6635435298 0.627610880 0.1460725074    0.00   0.00      1.00
121  0.99960938 0.0010380133 0.593507531 0.7516441997    0.00   0.00      1.00
122  1.00000000 0.9026050030 0.881737261 0.4323137102    0.00   0.00      1.00
123  0.99238281 0.1513056916 0.459391400 0.5851019556    0.00   0.06      0.94
124  0.99812500 0.1301887992 0.554363091 0.0985132135    0.00   0.00      1.00
125  0.99980469 0.3163469578 0.667344747 0.9276858664    0.00   0.00      1.00
126  0.99968750 0.6581157972 0.544885071 0.2674141249    0.00   0.00      1.00
127  1.00000000 0.2670105237 0.858568528 0.5992178053    0.00   0.00      1.00
128  0.99996094 0.1968272084 0.782931029 0.0945035503    0.00   0.00      1.00
129  1.00000000 0.3695171396 0.661836495 0.3745581678    0.00   0.00      1.00
130  1.00000000 0.2065865905 0.923321389 0.9014556031    0.00   0.00      1.00
131  0.83226563 0.6905453375 0.077602298 0.1496819584    0.08   0.20      0.72
132  0.91570312 0.0110872614 0.269099941 0.8721929034    0.00   0.29      0.71
133  0.99511719 0.9298965039 0.292535936 0.4592641781    0.00   0.02      0.98
134  1.00000000 0.1220547175 0.723422146 0.1769484712    0.00   0.00      1.00
135  0.94093750 0.3445187183 0.235424837 0.1087918635    0.00   0.18      0.82
136  0.89812500 0.1266871223 0.232913952 0.2966146558    0.00   0.39      0.61
137  0.98128906 0.8100388281 0.262655195 0.7979236620    0.00   0.07      0.93
138  0.85148437 0.1366589260 0.187290123 0.9305982273    0.00   0.47      0.53
139  1.00000000 0.9994125983 0.688882675 0.4855173579    0.00   0.00      1.00
