"","embryo","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid"
"78",8,0.5008594,0.4027169,0.0232731,0.24121047,0.38,0.19,0.43
"79",9,0.5023828,0.4071487,0.01965895,0.07805655,0.4,0.19,0.41
"80",10,0.5066797,0.4155363,0.020349,0.19180974,0.39,0.18,0.43
"81",1,0.5075,0.4192005,0.02357429,0.03141585,0.38,0.19,0.43
"82",2,0.5108984,0.4851207,0.02211027,0.05744466,0.39,0.18,0.43
"83",3,0.4908203,0.4953116,0.01980011,0.0901453,0.39,0.18,0.43
"84",4,0.5092188,0.4300714,0.01924327,0.16233954,0.38,0.18,0.44
"85",5,0.5133203,0.4196853,0.02251746,0.08860233,0.39,0.18,0.43
"86",6,0.4976953,0.469503,0.02323127,0.07774751,0.38,0.19,0.43
"87",7,0.5019141,0.4526347,0.02375809,0.02992962,0.39,0.19,0.42
"88",8,0.4992187,0.4950128,0.02023606,0.20619406,0.4,0.18,0.42
"89",9,0.5300391,0.3957005,0.02377977,0.26640894,0.38,0.19,0.43
"90",10,0.5173047,0.3883959,0.02188101,0.04551938,0.38,0.19,0.43
"91",1,0.5079297,0.396349,0.01986127,0.18355548,0.38,0.19,0.43
"92",2,0.5139453,0.3600337,0.01931578,0.20079988,0.38,0.18,0.44
"93",3,0.5091016,0.4853972,0.02255945,0.03695825,0.39,0.18,0.43
"94",4,0.5072656,0.3787188,0.02168476,0.14436718,0.39,0.18,0.43
"95",5,0.5013672,0.391587,0.01949531,0.01706313,0.38,0.18,0.44
"96",6,0.5207031,0.361847,0.02330898,0.12969064,0.38,0.18,0.44
"97",7,0.5136719,0.4261081,0.02191374,0.11739669,0.39,0.18,0.43
"98",8,0.4996094,0.4397451,0.02352301,0.08764672,0.39,0.19,0.42
"99",9,0.5053906,0.4075407,0.02220962,0.07975712,0.39,0.19,0.42
"100",10,0.5191797,0.474493,0.02468362,0.1257308,0.39,0.18,0.43
"101",1,0.5046094,0.3693232,0.02254292,0.04670145,0.39,0.17,0.44
"102",2,0.4923828,0.404781,0.02472009,0.02160279,0.4,0.17,0.43
"103",3,0.4935156,0.4049037,0.02045432,0.54597626,0.38,0.2,0.42
"104",4,0.4998828,0.4369107,0.02244017,0.15440616,0.4,0.19,0.41
"105",5,0.4830078,0.3545395,0.01913437,0.12261971,0.4,0.19,0.41
"106",6,0.5510938,0.4210313,0.02155937,0.10791728,0.37,0.2,0.43
"107",7,0.5291797,0.464941,0.01953297,0.45286391,0.39,0.17,0.44
"108",8,0.5135547,0.4890695,0.02137956,0.29384052,0.39,0.18,0.43
"109",9,0.49875,0.3719882,0.0197601,0.18609537,0.4,0.18,0.42
"110",10,0.4977734,0.392237,0.02066964,0.11020277,0.4,0.17,0.43
"111",1,0.5223828,0.3797102,0.02139431,0.16270398,0.38,0.19,0.43
"112",2,0.5151953,0.4109122,0.0240975,0.25533607,0.38,0.19,0.43
"113",3,0.4890234,0.3750032,0.01980133,0.05553198,0.4,0.19,0.41
"114",4,0.5119922,0.4927815,0.01989895,0.08704634,0.4,0.18,0.42
"115",5,0.5065625,0.4034637,0.0210856,0.12433174,0.4,0.19,0.41
"116",6,0.5331641,0.4538338,0.02141957,0.12726079,0.38,0.19,0.43
"117",7,0.5436328,0.4327387,0.02341393,0.12314942,0.37,0.19,0.44
"118",8,0.5144141,0.3870831,0.0201498,0.11405492,0.4,0.17,0.43
"119",9,0.5120703,0.4482892,0.02168269,0.24614783,0.38,0.19,0.43
"120",10,0.5145703,0.4514582,0.02121139,0.06137651,0.4,0.18,0.42
"121",1,0.5058984,0.421477,0.02370113,0.183705383,0.39,0.19,0.42
"122",2,0.5003516,0.404137,0.01900551,0.066587394,0.39,0.18,0.43
"123",3,0.5107422,0.4046159,0.02143429,0.068905357,0.39,0.18,0.43
"124",4,0.5031641,0.404151,0.02016472,0.123072683,0.38,0.19,0.43
"125",5,0.4884375,0.4385527,0.01933259,0.288981347,0.39,0.19,0.42
"126",6,0.5059375,0.4649273,0.02460403,0.005144263,0.38,0.19,0.43
"127",7,0.509375,0.365128,0.02256142,0.321094741,0.39,0.19,0.42
"128",8,0.4909375,0.4517521,0.02018472,0.071103344,0.38,0.19,0.43
"129",9,0.5273438,0.4783405,0.02316768,0.189605675,0.38,0.18,0.44
