   prop.aneu prob.meio  prob.mito  dispersal euploid mosaic aneuploid
1  0.5075000 0.3587468 0.02106056 0.14532086    0.38   0.18      0.44
2  0.5096094 0.4641563 0.01947401 0.26470119    0.39   0.18      0.43
3  0.5039844 0.4281760 0.01980665 0.14148025    0.40   0.18      0.42
4  0.5229687 0.4133886 0.02432992 0.19216327    0.38   0.18      0.44
5  0.5070703 0.4193766 0.02077971 0.01293526    0.39   0.18      0.43
6  0.5100781 0.3615121 0.02242105 0.12376340    0.39   0.19      0.42
7  0.5261719 0.3804045 0.02286595 0.37442665    0.38   0.18      0.44
8  0.5180859 0.3900134 0.02477868 0.14199841    0.40   0.18      0.42
9  0.5022266 0.4422471 0.02040519 0.14366032    0.40   0.18      0.42
10 0.5122266 0.4321146 0.02464250 0.04846965    0.39   0.19      0.42
