"","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid","misdiagnosed.rates"
"1",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"2",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"3",0.13671875,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"4",0.23046875,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"5",0.56640625,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"6",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"7",0.24609375,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"8",0.26171875,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"9",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"10",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"11",0.23046875,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"12",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"13",0.55859375,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"14",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"15",0.453125,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"16",0.39453125,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"17",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"18",0.39453125,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"19",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"20",0.62109375,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"21",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"22",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"23",0.21484375,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"24",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"25",0.140625,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"26",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"27",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"28",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"29",0.11328125,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"30",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"31",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"32",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"33",0.21875,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"34",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"35",0.37890625,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"36",0.3515625,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"37",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"38",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"39",0.09765625,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"40",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"41",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"42",1,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
"43",0.23046875,0.470824679126963,0.0383176410105079,0.0618497903924435,0.26,0.2,0.54,0.6
