"","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid","misdiagnosed.rates"
"1",0.0625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"2",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"3",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"4",0.3046875,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"5",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"6",0.0625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"7",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"8",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"9",0.37890625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"10",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"11",0.015625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"12",0.11328125,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"13",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"14",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"15",0.05859375,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"16",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"17",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"18",0.1328125,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"19",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"20",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"21",0.140625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"22",0.046875,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"23",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"24",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"25",0.0703125,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"26",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"27",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"28",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"29",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"30",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"31",0.23046875,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"32",0.046875,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"33",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"34",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"35",0.15625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"36",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"37",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"38",0.12890625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"39",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"40",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"41",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"42",0.05859375,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"43",0.10546875,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"44",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"45",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"46",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"47",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"48",0.08984375,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"49",0.02734375,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"50",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"51",0.3671875,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"52",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"53",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"54",0.18359375,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"55",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"56",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"57",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"58",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"59",0.23828125,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"60",0.09375,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"61",0.0390625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"62",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"63",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"64",0.0625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"65",0.5390625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"66",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"67",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"68",0.2265625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"69",0.0703125,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"70",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"71",0.07421875,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"72",0.03125,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"73",0.2109375,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"74",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"75",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"76",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"77",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"78",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"79",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"80",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"81",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"82",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"83",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"84",0.30078125,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"85",0.09765625,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"86",0.12109375,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"87",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"88",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"89",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"90",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"91",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"92",1,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"93",0.0859375,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
"94",0.09375,0.561068528564647,0.018681044690311,0.222754441667348,0.26,0.14,0.6,1
