"","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid","misdiagnosed.rates"
"1",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"2",0.015625,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"3",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"4",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"5",0.00390625,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"6",0.0078125,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"7",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"8",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"9",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"10",0.00390625,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"11",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"12",0.0078125,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"13",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"14",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"15",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"16",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"17",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"18",0.25,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"19",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"20",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"21",0.00390625,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"22",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"23",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"24",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"25",0.01171875,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"26",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"27",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"28",0.0078125,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"29",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"30",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"31",1,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"32",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"33",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"34",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"35",0,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
"36",0.0078125,0.240162407280877,0.000994217116385698,0.906111740041524,0.67,0.02,0.31,0.9
