"","prop.aneu","prob.meio","prob.mito","dispersal","euploid","mosaic","aneuploid","misdiagnosed.rates"
"1",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"2",0.08203125,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"3",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"4",0.140625,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"5",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"6",0.15625,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"7",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"8",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"9",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"10",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"11",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"12",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"13",0.109375,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"14",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"15",0.08203125,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"16",0.0703125,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"17",0.140625,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"18",0.19140625,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"19",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"20",0.109375,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"21",1,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"22",0.09765625,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
"23",0.1796875,0.495701119769365,0.0303337492514402,0.192715998273343,0.35,0.23,0.42,0.4
